experiment_id,run_id,status,result_artifact,baseline_mae,candidate_mae,effect_size,ci_lo,ci_hi,n_rows,n_years,r2_dead_regimes,decision_update,production_status,notes
BEXP-COOLING-MECHANISM-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
BEXP-L2-MONTH-REGIME-001,2026-06-08T033051Z,passed,reports\foundation-experiments\foundation_experiment_results_v1.csv,1.8256093374527977,1.5119292825266049,0.3136800549261929,0.2926536216958464,0.3363414006179195,11652,8,,"",EXPERIMENT_ONLY,Train-only month x candidate-regime climatology. candidate_rmse=1.984; candidate_bias=-0.251.
BEXP-L4-MONTH-CP-REGIME-001,2026-06-08T033051Z,passed,reports\foundation-experiments\foundation_experiment_results_v1.csv,1.7523171987641606,1.17610710607621,0.5762100926879505,0.5445417095777549,0.6074515104703053,11652,8,,"",EXPERIMENT_ONLY,Train-only month x CP x candidate-regime remaining-warming baseline. candidate_rmse=1.578; candidate_bias=0.020.
BEXP-LATE-TMAX-Q90-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
BEXP-QUAR-COOLING-FIXED-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
BEXP-QUAR-FOEHN-FIXED-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
BEXP-QUAR-LATE-TMAX-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
BEXP-QUAR-ONDA2R-REGIME-FAMILY-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
BEXP-QUAR-REGIME-CLASSIFIER-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
FEXP-FOEHN-CONTINUOUS-001,2026-06-08T033051Z,failed,reports\foundation-experiments\foundation_experiment_results_v1.csv,1.227857878475798,1.243906625472022,-0.01604874699622383,-0.024459320288362507,-0.007893494679024995,11652,8,,"",EXPERIMENT_ONLY,Experiment-only binned foehn_score probe versus RULE_FOEHN_SCORE_FIXED_60 comparator; candidate_rmse=1.637; candidate_bias=0.079; fallback_rows=2770.
REXP-COOLING-RDQ-006,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
REXP-DEAD-MARITIME-001,2026-06-08T033051Z,passed,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,0,READY_FOR_FULL_ONDA4_RERUN,EXPERIMENT_ONLY,v2.1 comparison ready for full Onda 4 rerun.
REXP-DEAD-MIXED-001,2026-06-08T033051Z,passed,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,0,READY_FOR_FULL_ONDA4_RERUN,EXPERIMENT_ONLY,v2.1 comparison ready for full Onda 4 rerun.
REXP-FOEHN-RDQ-007,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
REXP-REGIME-RDQ-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
REXP-REGIME-RDQ-005,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
REXP-REGIME-RDQ-008,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
REXP-REPAIR-FRR-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
REXP-REPAIR-WRR-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
REXP-WIND-RDQ-009,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
TEXP-COOLING-MECHANISM-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
TEXP-COOLING-RDQ-003,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
TEXP-FOEHN-RDQ-004,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
TEXP-TIMING-RDQ-002,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
WEXP-SOUTHERLY-DEPTH-001,2026-06-08T033051Z,not_run,reports\foundation-experiments\foundation_experiment_results_v1.csv,,,,,,0,0,,"",EXPERIMENT_ONLY,No experiment runner implemented for this catalog row in results v1.
