month,regime_label,cp,cooling_mechanism,n_rows,mean_remaining_warming,mean_tmax_anomaly,fixed_minus_2_trigger_rate,median_min_delta_t_per_h,underpowered_n_lt_30
1,calm_radiative,20:00,no_material_cooling,16,2.6875,-2.90223029045643,0.0,0.0,true
1,calm_radiative,21:00,no_material_cooling,16,2.6875,-2.65223029045643,0.0,-0.5,true
1,calm_radiative,22:00,no_material_cooling,16,2.1875,-2.21473029045643,0.0,-1.0,true
1,calm_radiative,23:00,no_material_cooling,15,1.7333333333333334,-2.2980636237897634,0.0,-1.0,true
1,insufficient,20:00,insufficient_obs,4,0.0,-1.9647302904564299,0.0,,true
1,insufficient,21:00,insufficient_obs,4,0.0,-1.9647302904564299,0.0,,true
1,insufficient,22:00,insufficient_obs,4,0.0,-1.9647302904564299,0.0,,true
1,insufficient,23:00,insufficient_obs,4,0.0,-1.9647302904564299,0.0,,true
1,southerly_disrupted,20:00,ambiguous_cooling,17,1.1176470588235294,-1.2000244081034888,1.0,-4.0,true
1,southerly_disrupted,20:00,no_material_cooling,327,3.6513761467889907,0.13618714073623067,0.0,-2.0,false
1,southerly_disrupted,20:00,radiative_pre_dawn,8,6.375,1.7852697095435701,1.0,-4.0,true
1,southerly_disrupted,20:00,southerly_frontal,6,0.8333333333333334,-3.2980636237897634,1.0,-4.0,true
1,southerly_disrupted,21:00,ambiguous_cooling,17,1.0,-1.2000244081034888,1.0,-4.0,true
1,southerly_disrupted,21:00,no_material_cooling,333,2.906906906906907,0.14337781765167823,0.0,-2.0,false
1,southerly_disrupted,21:00,post_dawn_advective,2,3.0,0.5352697095435701,1.0,-4.5,true
1,southerly_disrupted,21:00,radiative_pre_dawn,8,5.0,1.7852697095435701,1.0,-4.0,true
1,southerly_disrupted,21:00,southerly_frontal,7,0.8571428571428571,-2.96473029045643,1.0,-4.0,true
1,southerly_disrupted,22:00,ambiguous_cooling,17,0.9411764705882353,-1.2000244081034888,1.0,-4.0,true
1,southerly_disrupted,22:00,no_material_cooling,327,2.217125382262997,0.11783851688301966,0.0,-2.0,false
1,southerly_disrupted,22:00,post_dawn_advective,12,2.4166666666666665,1.7852697095435701,1.0,-4.0,true
1,southerly_disrupted,22:00,radiative_pre_dawn,8,3.625,1.7852697095435701,1.0,-4.0,true
1,southerly_disrupted,22:00,southerly_frontal,10,0.8,-3.06473029045643,1.0,-4.0,true
1,southerly_disrupted,23:00,ambiguous_cooling,17,0.9411764705882353,-1.2000244081034888,1.0,-4.0,true
1,southerly_disrupted,23:00,no_material_cooling,320,1.696875,0.11964470954357012,0.0,-2.0,false
1,southerly_disrupted,23:00,post_dawn_advective,26,1.5384615384615385,0.9198850941589547,1.0,-4.0,true
1,southerly_disrupted,23:00,radiative_pre_dawn,8,2.125,1.7852697095435701,1.0,-4.0,true
1,southerly_disrupted,23:00,southerly_frontal,12,0.5,-2.5480636237897634,1.0,-4.0,true
1,standard_nw,20:00,no_material_cooling,62,3.9193548387096775,0.5997858385758282,0.0,-1.0,false
1,standard_nw,21:00,no_material_cooling,52,3.1153846153846154,0.6314235556974163,0.0,-1.0,false
1,standard_nw,22:00,no_material_cooling,44,2.4545454545454546,0.46708789136175194,0.0,-1.0,false
1,standard_nw,23:00,no_material_cooling,35,1.9428571428571428,0.3495554238292844,0.0,-1.0,false
1,strong_nw_foehn,20:00,no_material_cooling,42,3.2857142857142856,-0.036158861885001316,0.0,0.0,false
1,strong_nw_foehn,21:00,no_material_cooling,43,2.627906976744186,-0.10426517417736011,0.0,0.0,false
1,strong_nw_foehn,22:00,no_material_cooling,44,1.9545454545454546,-0.010184835910975338,0.0,0.0,false
1,strong_nw_foehn,23:00,no_material_cooling,45,1.6222222222222222,0.10193637621023678,0.0,0.0,false
2,calm_radiative,20:00,no_material_cooling,16,3.125,-2.232311320754718,0.0,-1.0,true
2,calm_radiative,21:00,no_material_cooling,16,2.625,-2.232311320754718,0.0,-1.0,true
2,calm_radiative,22:00,no_material_cooling,15,2.3333333333333335,-2.3781446540880515,0.0,-1.0,true
2,calm_radiative,23:00,no_material_cooling,15,1.2666666666666666,-2.844811320754718,0.0,-1.0,true
2,insufficient,20:00,insufficient_obs,2,,-1.044811320754718,0.0,,true
2,insufficient,21:00,insufficient_obs,2,,-1.044811320754718,0.0,,true
2,insufficient,22:00,insufficient_obs,2,2.0,-1.044811320754718,0.0,,true
2,insufficient,23:00,insufficient_obs,1,,-1.044811320754718,0.0,,true
2,southerly_disrupted,20:00,ambiguous_cooling,8,3.0,0.45518867924528195,1.0,-4.0,true
2,southerly_disrupted,20:00,no_material_cooling,310,3.664516129032258,0.0035757760194754947,0.0,-2.0,false
2,southerly_disrupted,20:00,radiative_pre_dawn,13,5.615384615384615,0.26288098693758966,1.0,-4.0,true
2,southerly_disrupted,20:00,southerly_frontal,8,0.625,-2.169811320754718,1.0,-4.0,true
2,southerly_disrupted,21:00,ambiguous_cooling,8,2.75,0.45518867924528195,1.0,-4.0,true
2,southerly_disrupted,21:00,no_material_cooling,307,2.980456026058632,-0.005723372871981897,0.0,-2.0,false
2,southerly_disrupted,21:00,post_dawn_advective,4,1.0,0.20518867924528195,1.0,-4.0,true
2,southerly_disrupted,21:00,radiative_pre_dawn,13,4.538461538461538,0.26288098693758966,1.0,-4.0,true
2,southerly_disrupted,21:00,southerly_frontal,8,0.625,-2.169811320754718,1.0,-4.0,true
2,southerly_disrupted,22:00,ambiguous_cooling,8,2.125,0.45518867924528195,1.0,-4.0,true
2,southerly_disrupted,22:00,no_material_cooling,308,2.155844155844156,-0.022084048027445326,0.0,-2.0,false
2,southerly_disrupted,22:00,post_dawn_advective,8,1.75,1.455188679245282,1.0,-4.0,true
2,southerly_disrupted,22:00,radiative_pre_dawn,13,3.3846153846153846,0.26288098693758966,1.0,-4.0,true
2,southerly_disrupted,22:00,southerly_frontal,8,0.625,-2.169811320754718,1.0,-4.0,true
2,southerly_disrupted,23:00,ambiguous_cooling,8,1.75,0.45518867924528195,1.0,-4.0,true
2,southerly_disrupted,23:00,no_material_cooling,304,1.5855263157894737,0.04071499503475563,0.0,-2.0,false
2,southerly_disrupted,23:00,post_dawn_advective,13,1.5384615384615385,1.1859579100145128,1.0,-4.0,true
2,southerly_disrupted,23:00,radiative_pre_dawn,13,2.3846153846153846,0.26288098693758966,1.0,-4.0,true
2,southerly_disrupted,23:00,southerly_frontal,12,0.3333333333333333,-2.544811320754718,1.0,-4.0,true
2,standard_nw,20:00,no_material_cooling,47,4.319148936170213,0.6785929345644309,0.0,0.0,false
2,standard_nw,21:00,no_material_cooling,47,3.4680851063829787,0.6785929345644309,0.0,0.0,false
2,standard_nw,22:00,no_material_cooling,40,2.55,0.6551886792452819,0.0,-1.0,false
2,standard_nw,23:00,no_material_cooling,36,1.8888888888888888,0.6496331236897264,0.0,-1.0,false
2,strong_nw_foehn,20:00,no_material_cooling,20,3.35,0.755188679245282,0.0,0.0,true
