decision_id,item_id,item_type,domain,decision_status,evidence_level,source_artifact,strata,sample_size_warning,causal_availability,leakage_risk,decision_rationale,next_allowed_action
DEC-WCT-REGIME-001,WCT-REGIME-001,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, CP hour","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-002,WCT-REGIME-002,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,month,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-003,WCT-REGIME-003,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, cooling trigger hour","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-004,WCT-REGIME-004,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, sub-sector","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-005,WCT-REGIME-005,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, D-1 regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-006,WCT-REGIME-006,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,month,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-007,WCT-REGIME-007,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,cooling trigger audit,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-008,WCT-REGIME-008,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, CP lead","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-009,WCT-REGIME-009,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"regime margin, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-010,WCT-REGIME-010,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, direction distribution","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-011,WCT-REGIME-011,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"cooling hour, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-012,WCT-REGIME-012,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,month,"21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-013,WCT-REGIME-013,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, D-1 regime","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-014,WCT-REGIME-014,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"consecutive day count, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-015,WCT-REGIME-015,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, transition type","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-016,WCT-REGIME-016,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, feature set","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-017,WCT-REGIME-017,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"wind speed threshold, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-018,WCT-REGIME-018,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"foehn_score bin, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-019,WCT-REGIME-019,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"month, CP","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-REGIME-020,WCT-REGIME-020,thesis,REGIME,SUPPORTED,E2_descriptive_domain,reports/onda2e/regime_design_candidate_v1.csv,"trigger type, month","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-COOL-001,WCT-COOL-001,thesis,COOLING,SUPPORTED,E2_descriptive_domain,reports/onda2e/cooling_effects_by_month_regime_cp.csv,"month, CP window","21824 feature rows, 5456 days, 12 months, 4 CPs; power=PASS.",Domain EDA uses local obs/features/labels; outcome columns are audit evidence only.,No production feature or classifier is promoted by this thesis-level decision.,Local domain EDA provides descriptive support; causal feature promotion remains separate.,Use this decision only through ADR-012 queues; no production feature or classifier change.
