month,regime_label,cp,tmax_hour_bucket,n_rows,total_rows,bucket_share,underpowered_n_lt_30
1,calm_radiative,20:00,before_13,7,16,0.4375,true
1,calm_radiative,20:00,between_13_17,9,16,0.5625,true
1,calm_radiative,21:00,before_13,7,16,0.4375,true
1,calm_radiative,21:00,between_13_17,9,16,0.5625,true
1,calm_radiative,22:00,before_13,5,16,0.3125,true
1,calm_radiative,22:00,between_13_17,11,16,0.6875,true
1,calm_radiative,23:00,before_13,5,15,0.3333333333333333,true
1,calm_radiative,23:00,between_13_17,10,15,0.6666666666666666,true
1,insufficient,20:00,before_13,1,4,0.25,true
1,insufficient,20:00,between_13_17,3,4,0.75,true
1,insufficient,21:00,before_13,1,4,0.25,true
1,insufficient,21:00,between_13_17,3,4,0.75,true
1,insufficient,22:00,before_13,1,4,0.25,true
1,insufficient,22:00,between_13_17,3,4,0.75,true
1,insufficient,23:00,before_13,1,4,0.25,true
1,insufficient,23:00,between_13_17,3,4,0.75,true
1,southerly_disrupted,20:00,after_17,23,358,0.06424581005586592,false
1,southerly_disrupted,20:00,before_13,124,358,0.3463687150837989,false
1,southerly_disrupted,20:00,between_13_17,211,358,0.5893854748603352,false
1,southerly_disrupted,21:00,after_17,23,367,0.06267029972752043,false
1,southerly_disrupted,21:00,before_13,128,367,0.34877384196185285,false
1,southerly_disrupted,21:00,between_13_17,216,367,0.5885558583106267,false
1,southerly_disrupted,22:00,after_17,23,374,0.06149732620320856,false
1,southerly_disrupted,22:00,before_13,134,374,0.3582887700534759,false
1,southerly_disrupted,22:00,between_13_17,217,374,0.5802139037433155,false
1,southerly_disrupted,23:00,after_17,23,383,0.06005221932114883,false
1,southerly_disrupted,23:00,before_13,137,383,0.3577023498694517,false
1,southerly_disrupted,23:00,between_13_17,223,383,0.5822454308093995,false
1,standard_nw,20:00,after_17,3,62,0.04838709677419355,false
1,standard_nw,20:00,before_13,20,62,0.3225806451612903,false
1,standard_nw,20:00,between_13_17,39,62,0.6290322580645161,false
1,standard_nw,21:00,after_17,3,52,0.057692307692307696,false
1,standard_nw,21:00,before_13,16,52,0.3076923076923077,false
1,standard_nw,21:00,between_13_17,33,52,0.6346153846153846,false
1,standard_nw,22:00,after_17,3,44,0.06818181818181818,false
1,standard_nw,22:00,before_13,13,44,0.29545454545454547,false
1,standard_nw,22:00,between_13_17,28,44,0.6363636363636364,false
1,standard_nw,23:00,after_17,3,35,0.08571428571428572,false
1,standard_nw,23:00,before_13,11,35,0.3142857142857143,false
1,standard_nw,23:00,between_13_17,21,35,0.6,false
1,strong_nw_foehn,20:00,after_17,1,42,0.023809523809523808,false
1,strong_nw_foehn,20:00,before_13,14,42,0.3333333333333333,false
1,strong_nw_foehn,20:00,between_13_17,27,42,0.6428571428571429,false
1,strong_nw_foehn,21:00,after_17,1,43,0.023255813953488372,false
1,strong_nw_foehn,21:00,before_13,14,43,0.32558139534883723,false
1,strong_nw_foehn,21:00,between_13_17,28,43,0.6511627906976745,false
1,strong_nw_foehn,22:00,after_17,1,44,0.022727272727272728,false
1,strong_nw_foehn,22:00,before_13,13,44,0.29545454545454547,false
1,strong_nw_foehn,22:00,between_13_17,30,44,0.6818181818181818,false
1,strong_nw_foehn,23:00,after_17,1,45,0.022222222222222223,false
1,strong_nw_foehn,23:00,before_13,12,45,0.26666666666666666,false
1,strong_nw_foehn,23:00,between_13_17,32,45,0.7111111111111111,false
2,calm_radiative,20:00,after_17,1,16,0.0625,true
2,calm_radiative,20:00,before_13,7,16,0.4375,true
2,calm_radiative,20:00,between_13_17,8,16,0.5,true
2,calm_radiative,21:00,after_17,1,16,0.0625,true
2,calm_radiative,21:00,before_13,7,16,0.4375,true
2,calm_radiative,21:00,between_13_17,8,16,0.5,true
2,calm_radiative,22:00,before_13,7,15,0.4666666666666667,true
2,calm_radiative,22:00,between_13_17,8,15,0.5333333333333333,true
2,calm_radiative,23:00,before_13,7,15,0.4666666666666667,true
2,calm_radiative,23:00,between_13_17,8,15,0.5333333333333333,true
2,insufficient,20:00,before_13,1,2,0.5,true
2,insufficient,20:00,between_13_17,1,2,0.5,true
2,insufficient,21:00,before_13,1,2,0.5,true
2,insufficient,21:00,between_13_17,1,2,0.5,true
2,insufficient,22:00,before_13,1,2,0.5,true
2,insufficient,22:00,between_13_17,1,2,0.5,true
2,insufficient,23:00,between_13_17,1,1,1.0,true
2,southerly_disrupted,20:00,after_17,17,339,0.05014749262536873,false
2,southerly_disrupted,20:00,before_13,109,339,0.3215339233038348,false
2,southerly_disrupted,20:00,between_13_17,213,339,0.6283185840707964,false
2,southerly_disrupted,21:00,after_17,17,340,0.05,false
2,southerly_disrupted,21:00,before_13,110,340,0.3235294117647059,false
2,southerly_disrupted,21:00,between_13_17,213,340,0.6264705882352941,false
2,southerly_disrupted,22:00,after_17,18,345,0.05217391304347826,false
2,southerly_disrupted,22:00,before_13,112,345,0.32463768115942027,false
2,southerly_disrupted,22:00,between_13_17,215,345,0.6231884057971014,false
2,southerly_disrupted,23:00,after_17,18,350,0.05142857142857143,false
2,southerly_disrupted,23:00,before_13,114,350,0.32571428571428573,false
2,southerly_disrupted,23:00,between_13_17,218,350,0.6228571428571429,false
2,standard_nw,20:00,after_17,2,47,0.0425531914893617,false
2,standard_nw,20:00,before_13,19,47,0.40425531914893614,false
2,standard_nw,20:00,between_13_17,26,47,0.5531914893617021,false
2,standard_nw,21:00,after_17,2,47,0.0425531914893617,false
2,standard_nw,21:00,before_13,19,47,0.40425531914893614,false
2,standard_nw,21:00,between_13_17,26,47,0.5531914893617021,false
2,standard_nw,22:00,after_17,2,40,0.05,false
2,standard_nw,22:00,before_13,16,40,0.4,false
2,standard_nw,22:00,between_13_17,22,40,0.55,false
2,standard_nw,23:00,after_17,2,36,0.05555555555555555,false
2,standard_nw,23:00,before_13,14,36,0.3888888888888889,false
2,standard_nw,23:00,between_13_17,20,36,0.5555555555555556,false
2,strong_nw_foehn,20:00,before_13,8,20,0.4,true
2,strong_nw_foehn,20:00,between_13_17,12,20,0.6,true
2,strong_nw_foehn,21:00,before_13,7,19,0.3684210526315789,true
2,strong_nw_foehn,21:00,between_13_17,12,19,0.631578947368421,true
2,strong_nw_foehn,22:00,before_13,8,22,0.36363636363636365,true
2,strong_nw_foehn,22:00,between_13_17,14,22,0.6363636363636364,true
2,strong_nw_foehn,23:00,before_13,9,22,0.4090909090909091,true
2,strong_nw_foehn,23:00,between_13_17,13,22,0.5909090909090909,true
3,calm_radiative,20:00,after_17,1,13,0.07692307692307693,true
3,calm_radiative,20:00,before_13,3,13,0.23076923076923078,true
3,calm_radiative,20:00,between_13_17,9,13,0.6923076923076923,true
3,calm_radiative,21:00,after_17,1,13,0.07692307692307693,true
3,calm_radiative,21:00,before_13,3,13,0.23076923076923078,true
3,calm_radiative,21:00,between_13_17,9,13,0.6923076923076923,true
3,calm_radiative,22:00,after_17,1,13,0.07692307692307693,true
3,calm_radiative,22:00,before_13,3,13,0.23076923076923078,true
3,calm_radiative,22:00,between_13_17,9,13,0.6923076923076923,true
3,calm_radiative,23:00,after_17,1,12,0.08333333333333333,true
3,calm_radiative,23:00,before_13,2,12,0.16666666666666666,true
3,calm_radiative,23:00,between_13_17,9,12,0.75,true
3,southerly_disrupted,20:00,after_17,10,368,0.02717391304347826,false
3,southerly_disrupted,20:00,before_13,130,368,0.3532608695652174,false
3,southerly_disrupted,20:00,between_13_17,228,368,0.6195652173913043,false
3,southerly_disrupted,21:00,after_17,10,374,0.026737967914438502,false
3,southerly_disrupted,21:00,before_13,133,374,0.35561497326203206,false
3,southerly_disrupted,21:00,between_13_17,231,374,0.6176470588235294,false
3,southerly_disrupted,22:00,after_17,10,380,0.02631578947368421,false
3,southerly_disrupted,22:00,before_13,135,380,0.35526315789473684,false
3,southerly_disrupted,22:00,between_13_17,235,380,0.618421052631579,false
3,southerly_disrupted,23:00,after_17,10,383,0.02610966057441253,false
3,southerly_disrupted,23:00,before_13,136,383,0.35509138381201044,false
3,southerly_disrupted,23:00,between_13_17,237,383,0.618798955613577,false
3,standard_nw,20:00,before_13,19,64,0.296875,false
3,standard_nw,20:00,between_13_17,45,64,0.703125,false
3,standard_nw,21:00,before_13,19,61,0.3114754098360656,false
3,standard_nw,21:00,between_13_17,42,61,0.6885245901639344,false
3,standard_nw,22:00,before_13,17,55,0.3090909090909091,false
3,standard_nw,22:00,between_13_17,38,55,0.6909090909090909,false
3,standard_nw,23:00,before_13,16,52,0.3076923076923077,false
3,standard_nw,23:00,between_13_17,36,52,0.6923076923076923,false
3,strong_nw_foehn,20:00,before_13,8,20,0.4,true
3,strong_nw_foehn,20:00,between_13_17,12,20,0.6,true
3,strong_nw_foehn,21:00,before_13,5,17,0.29411764705882354,true
3,strong_nw_foehn,21:00,between_13_17,12,17,0.7058823529411765,true
3,strong_nw_foehn,22:00,before_13,5,17,0.29411764705882354,true
3,strong_nw_foehn,22:00,between_13_17,12,17,0.7058823529411765,true
3,strong_nw_foehn,23:00,before_13,6,18,0.3333333333333333,true
3,strong_nw_foehn,23:00,between_13_17,12,18,0.6666666666666666,true
4,calm_radiative,20:00,before_13,12,15,0.8,true
4,calm_radiative,20:00,between_13_17,3,15,0.2,true
4,calm_radiative,21:00,before_13,12,15,0.8,true
4,calm_radiative,21:00,between_13_17,3,15,0.2,true
4,calm_radiative,22:00,before_13,11,13,0.8461538461538461,true
4,calm_radiative,22:00,between_13_17,2,13,0.15384615384615385,true
4,calm_radiative,23:00,before_13,10,12,0.8333333333333334,true
4,calm_radiative,23:00,between_13_17,2,12,0.16666666666666666,true
4,insufficient,20:00,after_17,1,4,0.25,true
4,insufficient,20:00,before_13,2,4,0.5,true
4,insufficient,20:00,between_13_17,1,4,0.25,true
4,insufficient,21:00,before_13,2,2,1.0,true
4,insufficient,22:00,before_13,2,2,1.0,true
4,insufficient,23:00,before_13,2,2,1.0,true
4,southerly_disrupted,20:00,after_17,9,347,0.025936599423631124,false
4,southerly_disrupted,20:00,before_13,242,347,0.6974063400576369,false
4,southerly_disrupted,20:00,between_13_17,96,347,0.276657060518732,false
4,southerly_disrupted,21:00,after_17,10,350,0.02857142857142857,false
4,southerly_disrupted,21:00,before_13,243,350,0.6942857142857143,false
4,southerly_disrupted,21:00,between_13_17,97,350,0.27714285714285714,false
4,southerly_disrupted,22:00,after_17,10,351,0.02849002849002849,false
4,southerly_disrupted,22:00,before_13,244,351,0.6951566951566952,false
4,southerly_disrupted,22:00,between_13_17,97,351,0.27635327635327633,false
4,southerly_disrupted,23:00,after_17,10,364,0.027472527472527472,false
4,southerly_disrupted,23:00,before_13,254,364,0.6978021978021978,false
4,southerly_disrupted,23:00,between_13_17,100,364,0.27472527472527475,false
4,standard_nw,20:00,before_13,33,64,0.515625,false
4,standard_nw,20:00,between_13_17,31,64,0.484375,false
4,standard_nw,21:00,before_13,31,61,0.5081967213114754,false
4,standard_nw,21:00,between_13_17,30,61,0.4918032786885246,false
4,standard_nw,22:00,before_13,29,58,0.5,false
4,standard_nw,22:00,between_13_17,29,58,0.5,false
4,standard_nw,23:00,before_13,21,47,0.44680851063829785,false
