month,regime_label,n_context_days,p10_tmax_hour,p25_tmax_hour,p50_tmax_hour,p75_tmax_hour,p90_tmax_hour,mean_tmax_hour,underpowered_n_lt_30
1,calm_radiative,19,10.0,12.0,14.0,15.0,16.0,12.052631578947368,true
1,insufficient,4,1.0,13.0,14.0,14.0,17.0,11.25,true
1,southerly_disrupted,385,9.0,12.0,13.0,15.0,17.0,12.618181818181819,false
1,standard_nw,62,10.0,12.0,13.0,15.0,16.0,13.080645161290322,false
1,strong_nw_foehn,55,10.0,12.0,13.0,14.0,15.0,13.072727272727272,false
2,calm_radiative,18,0.0,11.0,13.0,15.0,16.0,11.555555555555555,true
2,insufficient,2,12.0,12.0,17.0,17.0,17.0,14.5,true
2,southerly_disrupted,351,9.0,12.0,13.0,15.0,16.0,12.37037037037037,false
2,standard_nw,47,10.0,12.0,13.0,14.0,15.0,12.53191489361702,false
2,strong_nw_foehn,27,10.0,12.0,13.0,14.0,15.0,13.037037037037036,true
3,calm_radiative,14,12.0,13.0,15.0,16.0,17.0,13.714285714285714,true
3,southerly_disrupted,384,9.0,12.0,13.0,14.0,16.0,12.265625,false
3,standard_nw,65,10.0,12.0,13.0,15.0,15.0,12.538461538461538,false
3,strong_nw_foehn,26,11.0,11.0,13.0,13.0,15.0,12.461538461538462,true
4,calm_radiative,15,0.0,8.0,11.0,11.0,14.0,8.933333333333334,true
4,insufficient,4,0.0,7.0,13.0,13.0,23.0,10.75,true
4,southerly_disrupted,364,0.0,10.0,12.0,13.0,14.0,10.51923076923077,false
4,standard_nw,65,10.0,11.0,12.0,13.0,15.0,11.753846153846155,false
4,strong_nw_foehn,29,10.0,11.0,12.0,14.0,15.0,12.10344827586207,true
5,calm_radiative,11,0.0,7.0,10.0,15.0,16.0,9.363636363636363,true
5,insufficient,3,3.0,16.0,16.0,17.0,17.0,12.0,true
5,southerly_disrupted,393,0.0,10.0,12.0,13.0,14.0,10.412213740458014,false
5,standard_nw,56,10.0,11.0,12.0,13.0,15.0,11.892857142857142,false
5,strong_nw_foehn,23,10.0,11.0,11.0,12.0,14.0,11.08695652173913,true
6,calm_radiative,11,0.0,12.0,12.0,13.0,13.0,9.727272727272727,true
6,insufficient,4,2.0,20.0,21.0,21.0,22.0,16.25,true
6,southerly_disrupted,368,0.0,6.0,12.0,13.0,14.0,9.5625,false
6,standard_nw,42,5.0,10.0,12.0,14.0,15.0,11.380952380952381,false
6,strong_nw_foehn,24,8.0,10.0,11.0,14.0,14.0,11.0,true
7,calm_radiative,13,0.0,12.0,13.0,13.0,15.0,11.076923076923077,true
7,insufficient,4,14.0,18.0,18.0,18.0,19.0,17.25,true
7,southerly_disrupted,370,0.0,11.0,12.0,13.0,15.0,10.472972972972974,false
7,standard_nw,46,10.0,11.0,12.0,13.0,14.0,11.173913043478262,false
7,strong_nw_foehn,15,0.0,10.0,11.0,12.0,13.0,8.533333333333333,true
8,calm_radiative,19,10.0,12.0,13.0,13.0,14.0,12.526315789473685,true
8,insufficient,4,5.0,7.0,12.0,12.0,18.0,10.5,true
8,southerly_disrupted,351,0.0,10.0,12.0,13.0,14.0,10.484330484330485,false
8,standard_nw,70,9.0,11.0,12.0,13.0,14.0,11.614285714285714,false
8,strong_nw_foehn,17,10.0,11.0,12.0,13.0,14.0,11.470588235294118,true
9,calm_radiative,14,4.0,10.0,12.0,13.0,15.0,10.285714285714286,true
9,southerly_disrupted,345,0.0,10.0,12.0,14.0,15.0,10.771014492753624,false
9,standard_nw,69,10.0,11.0,12.0,14.0,15.0,11.971014492753623,false
9,strong_nw_foehn,51,10.0,11.0,12.0,13.0,14.0,11.705882352941176,false
10,calm_radiative,12,11.0,11.0,13.0,14.0,16.0,13.0,true
10,southerly_disrupted,374,0.0,11.0,13.0,14.0,16.0,11.417112299465241,false
10,standard_nw,59,10.0,12.0,13.0,15.0,15.0,12.864406779661017,false
10,strong_nw_foehn,54,10.0,11.0,13.0,14.0,14.0,12.407407407407407,false
11,calm_radiative,13,11.0,12.0,14.0,15.0,17.0,13.076923076923077,true
11,insufficient,4,0.0,1.0,19.0,19.0,22.0,10.5,true
11,southerly_disrupted,373,8.0,11.0,13.0,14.0,16.0,11.962466487935657,false
11,standard_nw,60,10.0,11.0,13.0,14.0,15.0,12.466666666666667,false
11,strong_nw_foehn,44,11.0,11.0,13.0,14.0,15.0,12.590909090909092,false
12,calm_radiative,26,12.0,13.0,15.0,17.0,19.0,13.961538461538462,true
12,insufficient,3,8.0,13.0,13.0,19.0,19.0,13.333333333333334,true
12,southerly_disrupted,379,4.0,11.0,13.0,15.0,16.0,12.068601583113457,false
12,standard_nw,75,9.0,11.0,13.0,15.0,16.0,12.466666666666667,false
12,strong_nw_foehn,47,11.0,12.0,14.0,14.0,15.0,12.893617021276595,false
