month,regime_label,cp,cooling_mechanism,n_rows,total_rows,share,underpowered_n_lt_30,median_min_delta_t_per_h,median_cooling_hour
1,calm_radiative,20:00,no_material_cooling,16,16,1.0,true,0.0,0.0
1,calm_radiative,21:00,no_material_cooling,16,16,1.0,true,-0.5,0.5
1,calm_radiative,22:00,no_material_cooling,16,16,1.0,true,-1.0,1.0
1,calm_radiative,23:00,no_material_cooling,15,15,1.0,true,-1.0,1.0
1,insufficient,20:00,insufficient_obs,4,4,1.0,true,,
1,insufficient,21:00,insufficient_obs,4,4,1.0,true,,
1,insufficient,22:00,insufficient_obs,4,4,1.0,true,,
1,insufficient,23:00,insufficient_obs,4,4,1.0,true,,
1,southerly_disrupted,20:00,ambiguous_cooling,17,358,0.04748603351955307,true,-4.0,3.0
1,southerly_disrupted,20:00,no_material_cooling,327,358,0.9134078212290503,false,-2.0,2.0
1,southerly_disrupted,20:00,radiative_pre_dawn,8,358,0.0223463687150838,true,-4.0,2.0
1,southerly_disrupted,20:00,southerly_frontal,6,358,0.01675977653631285,true,-4.0,3.0
1,southerly_disrupted,21:00,ambiguous_cooling,17,367,0.04632152588555858,true,-4.0,3.0
1,southerly_disrupted,21:00,no_material_cooling,333,367,0.9073569482288828,false,-2.0,2.0
1,southerly_disrupted,21:00,post_dawn_advective,2,367,0.005449591280653951,true,-4.5,9.0
1,southerly_disrupted,21:00,radiative_pre_dawn,8,367,0.021798365122615803,true,-4.0,2.0
1,southerly_disrupted,21:00,southerly_frontal,7,367,0.01907356948228883,true,-4.0,5.0
1,southerly_disrupted,22:00,ambiguous_cooling,17,374,0.045454545454545456,true,-4.0,3.0
1,southerly_disrupted,22:00,no_material_cooling,327,374,0.8743315508021391,false,-2.0,2.0
1,southerly_disrupted,22:00,post_dawn_advective,12,374,0.03208556149732621,true,-4.0,10.0
1,southerly_disrupted,22:00,radiative_pre_dawn,8,374,0.0213903743315508,true,-4.0,2.0
1,southerly_disrupted,22:00,southerly_frontal,10,374,0.026737967914438502,true,-4.0,6.0
1,southerly_disrupted,23:00,ambiguous_cooling,17,383,0.044386422976501305,true,-4.0,3.0
1,southerly_disrupted,23:00,no_material_cooling,320,383,0.835509138381201,false,-2.0,2.0
1,southerly_disrupted,23:00,post_dawn_advective,26,383,0.06788511749347259,true,-4.0,11.0
1,southerly_disrupted,23:00,radiative_pre_dawn,8,383,0.020887728459530026,true,-4.0,2.0
1,southerly_disrupted,23:00,southerly_frontal,12,383,0.031331592689295036,true,-4.0,7.5
1,standard_nw,20:00,no_material_cooling,62,62,1.0,false,-1.0,1.0
1,standard_nw,21:00,no_material_cooling,52,52,1.0,false,-1.0,1.0
1,standard_nw,22:00,no_material_cooling,44,44,1.0,false,-1.0,1.0
1,standard_nw,23:00,no_material_cooling,35,35,1.0,false,-1.0,1.0
1,strong_nw_foehn,20:00,no_material_cooling,42,42,1.0,false,0.0,0.0
1,strong_nw_foehn,21:00,no_material_cooling,43,43,1.0,false,0.0,1.0
1,strong_nw_foehn,22:00,no_material_cooling,44,44,1.0,false,0.0,1.0
1,strong_nw_foehn,23:00,no_material_cooling,45,45,1.0,false,0.0,1.0
2,calm_radiative,20:00,no_material_cooling,16,16,1.0,true,-1.0,1.0
2,calm_radiative,21:00,no_material_cooling,16,16,1.0,true,-1.0,1.0
2,calm_radiative,22:00,no_material_cooling,15,15,1.0,true,-1.0,1.0
2,calm_radiative,23:00,no_material_cooling,15,15,1.0,true,-1.0,1.0
2,insufficient,20:00,insufficient_obs,2,2,1.0,true,,
2,insufficient,21:00,insufficient_obs,2,2,1.0,true,,
2,insufficient,22:00,insufficient_obs,2,2,1.0,true,,
2,insufficient,23:00,insufficient_obs,1,1,1.0,true,,
2,southerly_disrupted,20:00,ambiguous_cooling,8,339,0.02359882005899705,true,-4.0,4.0
2,southerly_disrupted,20:00,no_material_cooling,310,339,0.9144542772861357,false,-2.0,2.0
2,southerly_disrupted,20:00,radiative_pre_dawn,13,339,0.038348082595870206,true,-4.0,4.0
