month,cp,wind_sector,n_obs,n_days,total_obs,share,mean_sknt
1,20:00,E,134,74,7870,0.017026683608640406,2.7686567164179103
1,20:00,N,4047,358,7870,0.5142312579415502,14.309117865085248
1,20:00,NE,782,205,7870,0.09936467598475222,6.406649616368286
1,20:00,NW,234,94,7870,0.029733163913595935,12.662393162393162
1,20:00,S,1691,216,7870,0.21486658195679798,12.751626256652868
1,20:00,SE,451,107,7870,0.05730622617534943,9.574279379157428
1,20:00,SW,445,120,7870,0.056543837357052096,8.88314606741573
1,20:00,W,85,60,7870,0.010800508259212199,3.0823529411764707
1,20:00,unknown,1,1,7870,0.00012706480304955527,2.0
1,21:00,E,137,76,8742,0.015671471059254174,2.832116788321168
1,21:00,N,4509,363,8742,0.5157858613589568,14.43756930583278
1,21:00,NE,819,211,8742,0.0936856554564173,6.536019536019536
1,21:00,NW,271,105,8742,0.030999771219400594,12.487084870848708
1,21:00,S,1948,225,8742,0.222832303820636,12.675051334702259
1,21:00,SE,479,108,8742,0.05479295355753832,9.734864300626304
1,21:00,SW,490,127,8742,0.05605124685426676,8.771428571428572
1,21:00,W,88,62,8742,0.010066346373827499,3.0795454545454546
1,21:00,unknown,1,1,8742,0.00011439029970258523,2.0
1,22:00,E,142,79,9617,0.014765519392742019,2.8732394366197185
1,22:00,N,4970,364,9617,0.5167931787459706,14.654325955734407
1,22:00,NE,835,212,9617,0.08682541333056047,6.566467065868263
1,22:00,NW,298,109,9617,0.03098679421857128,12.583892617449665
1,22:00,S,2237,235,9617,0.23260892170115421,12.531068395172106
1,22:00,SE,516,116,9617,0.05365498596235833,10.005813953488373
1,22:00,SW,525,133,9617,0.05459082874077155,8.792380952380952
1,22:00,W,93,65,9617,0.009670375376936675,3.225806451612903
1,22:00,unknown,1,1,9617,0.00010398253093480295,2.0
1,23:00,E,142,79,10492,0.01353412123522684,2.8732394366197185
1,23:00,N,5415,364,10492,0.5161075104841785,14.883841181902124
1,23:00,NE,843,212,10492,0.08034693099504385,6.578884934756821
1,23:00,NW,330,117,10492,0.031452535264963784,12.993939393939394
1,23:00,S,2563,244,10492,0.24428135722455205,12.46547015216543
1,23:00,SE,541,117,10492,0.051563095691955774,10.194085027726432
1,23:00,SW,563,136,10492,0.0536599313762867,8.813499111900533
1,23:00,W,94,66,10492,0.008959207014868471,3.2127659574468086
1,23:00,unknown,1,1,10492,0.00009531071292413267,2.0
2,20:00,E,137,69,7037,0.019468523518544834,2.5036496350364965
2,20:00,N,3693,319,7037,0.5247974989342049,13.746547522339561
2,20:00,NE,861,188,7037,0.12235327554355549,5.932636469221835
2,20:00,NW,179,68,7037,0.025436975984084127,10.927374301675977
2,20:00,S,1483,166,7037,0.21074321443797073,14.095077545515846
2,20:00,SE,396,89,7037,0.05627398038937047,9.734848484848484
2,20:00,SW,241,85,7037,0.034247548671308796,11.439834024896266
2,20:00,W,47,37,7037,0.006678982520960637,3.0638297872340425
2,21:00,E,144,71,7818,0.01841903300076746,2.5347222222222223
2,21:00,N,4112,322,7818,0.5259657201330263,13.846546692607005
2,21:00,NE,915,192,7818,0.1170376055257099,6.0950819672131145
2,21:00,NW,203,74,7818,0.025965720133026348,10.970443349753694
2,21:00,S,1672,179,7818,0.21386543873113328,14.04066985645933
2,21:00,SE,443,93,7818,0.05666410846763878,10.033860045146726
2,21:00,SW,278,92,7818,0.035558966487592734,11.201438848920864
2,21:00,W,51,41,7818,0.006523407521105142,2.9411764705882355
2,22:00,E,152,74,8599,0.017676474008605652,2.763157894736842
2,22:00,N,4529,323,8599,0.5266891499011513,14.046809450209759
2,22:00,NE,941,192,8599,0.10943132922432841,6.16365568544102
2,22:00,NW,227,81,8599,0.026398418420746597,11.277533039647578
2,22:00,S,1902,194,8599,0.2211885102918944,13.88801261829653
2,22:00,SE,477,94,8599,0.05547156646121642,10.276729559748428
2,22:00,SW,317,103,8599,0.03686475171531573,10.965299684542586
2,22:00,W,54,44,8599,0.006279799976741482,2.8518518518518516
2,23:00,E,155,74,9383,0.016519236917830117,2.838709677419355
2,23:00,N,4938,323,9383,0.5262709154854525,14.303159173754556
2,23:00,NE,955,194,9383,0.10177981455824363,6.172774869109948
2,23:00,NW,247,83,9383,0.026324203346477674,11.566801619433198
2,23:00,S,2171,208,9383,0.23137589257167218,13.742975587286965
2,23:00,SE,512,97,9383,0.054566769689864646,10.458984375
2,23:00,SW,347,111,9383,0.03698177555152936,10.847262247838616
2,23:00,W,58,48,9383,0.00618139187892998,2.8448275862068964
3,20:00,E,148,77,7767,0.019054976181279774,2.3783783783783785
3,20:00,N,3616,330,7767,0.4655594180507274,12.989491150442477
3,20:00,NE,1067,218,7767,0.13737607827990214,6.077788191190253
3,20:00,NW,160,67,7767,0.020599974250032186,10.05625
3,20:00,S,1967,199,7767,0.2532509334363332,15.808337569903406
3,20:00,SE,495,106,7767,0.06373117033603708,9.468686868686868
3,20:00,SW,279,79,7767,0.03592120509849363,10.365591397849462
3,20:00,W,34,26,7767,0.0043774945281318395,3.2941176470588234
3,20:00,unknown,1,1,7767,0.00012874983906270118,3.0
3,21:00,E,158,81,8623,0.018323089412037575,2.3860759493670884
3,21:00,N,4045,334,8623,0.46909428273222775,13.046971569839307
3,21:00,NE,1155,224,8623,0.13394410298040124,6.17056277056277
3,21:00,NW,175,74,8623,0.020294561057636554,10.154285714285715
3,21:00,S,2191,205,8623,0.25408790444160967,15.79187585577362
3,21:00,SE,538,108,8623,0.06239127913719123,9.45910780669145
3,21:00,SW,318,88,8623,0.036878116664733854,10.069182389937106
3,21:00,W,42,34,8623,0.004870694653832773,3.619047619047619
3,21:00,unknown,1,1,8623,0.00011596892032935173,3.0
3,22:00,E,167,83,9488,0.017601180438448567,2.44311377245509
3,22:00,N,4464,336,9488,0.47048903878583476,13.209677419354838
3,22:00,NE,1216,227,9488,0.1281618887015177,6.275493421052632
3,22:00,NW,195,80,9488,0.020552276559865093,10.107692307692307
3,22:00,S,2448,216,9488,0.2580101180438449,15.61437908496732
3,22:00,SE,576,111,9488,0.06070826306913996,9.546875
3,22:00,SW,374,101,9488,0.039418212478920744,9.95187165775401
3,22:00,W,47,37,9488,0.00495362563237774,3.851063829787234
3,22:00,unknown,1,1,9488,0.00010539629005059021,3.0
3,23:00,E,172,84,10352,0.01661514683153014,2.505813953488372
3,23:00,N,4890,337,10352,0.4723724884080371,13.402044989775051
3,23:00,NE,1245,229,10352,0.12026661514683153,6.339759036144578
3,23:00,NW,214,84,10352,0.020672333848531683,10.490654205607477
3,23:00,S,2745,231,10352,0.2651661514683153,15.353734061930783
3,23:00,SE,610,113,10352,0.0589258114374034,9.660655737704918
3,23:00,SW,425,114,10352,0.0410548686244204,10.044705882352941
3,23:00,W,50,38,10352,0.004829984544049459,4.02
3,23:00,unknown,1,1,10352,0.00009659969088098918,3.0
4,20:00,E,126,68,6784,0.01857311320754717,2.3174603174603177
4,20:00,N,3243,342,6784,0.4780365566037736,12.547024360160345
4,20:00,NE,1120,214,6784,0.1650943396226415,6.011607142857143
4,20:00,NW,168,78,6784,0.024764150943396228,11.380952380952381
4,20:00,S,1546,167,6784,0.22788915094339623,15.846054333764554
4,20:00,SE,325,81,6784,0.04790683962264151,9.116923076923078
4,20:00,SW,194,68,6784,0.028596698113207548,9.907216494845361
4,20:00,W,60,33,6784,0.00884433962264151,6.166666666666667
4,20:00,unknown,2,2,6784,0.00029481132075471697,3.0
4,21:00,E,134,72,7621,0.01758299435769584,2.3358208955223883
4,21:00,N,3676,349,7621,0.4823513974544023,12.526387377584332
