month,regime_label,cp,n_rows,underpowered_n_lt_30
1,calm_radiative,20:00,16,true
1,calm_radiative,21:00,16,true
1,calm_radiative,22:00,16,true
1,calm_radiative,23:00,15,true
1,insufficient,20:00,4,true
1,insufficient,21:00,4,true
1,insufficient,22:00,4,true
1,insufficient,23:00,4,true
1,southerly_disrupted,20:00,358,false
1,southerly_disrupted,21:00,367,false
1,southerly_disrupted,22:00,374,false
1,southerly_disrupted,23:00,383,false
1,standard_nw,20:00,62,false
1,standard_nw,21:00,52,false
1,standard_nw,22:00,44,false
1,standard_nw,23:00,35,false
1,strong_nw_foehn,20:00,42,false
1,strong_nw_foehn,21:00,43,false
1,strong_nw_foehn,22:00,44,false
1,strong_nw_foehn,23:00,45,false
2,calm_radiative,20:00,16,true
2,calm_radiative,21:00,16,true
2,calm_radiative,22:00,15,true
2,calm_radiative,23:00,15,true
2,insufficient,20:00,2,true
2,insufficient,21:00,2,true
2,insufficient,22:00,2,true
2,insufficient,23:00,1,true
2,southerly_disrupted,20:00,339,false
2,southerly_disrupted,21:00,340,false
2,southerly_disrupted,22:00,345,false
2,southerly_disrupted,23:00,350,false
2,standard_nw,20:00,47,false
2,standard_nw,21:00,47,false
2,standard_nw,22:00,40,false
2,standard_nw,23:00,36,false
2,strong_nw_foehn,20:00,20,true
2,strong_nw_foehn,21:00,19,true
2,strong_nw_foehn,22:00,22,true
2,strong_nw_foehn,23:00,22,true
3,calm_radiative,20:00,13,true
3,calm_radiative,21:00,13,true
3,calm_radiative,22:00,13,true
3,calm_radiative,23:00,12,true
3,southerly_disrupted,20:00,368,false
3,southerly_disrupted,21:00,374,false
3,southerly_disrupted,22:00,380,false
3,southerly_disrupted,23:00,383,false
3,standard_nw,20:00,64,false
3,standard_nw,21:00,61,false
3,standard_nw,22:00,55,false
3,standard_nw,23:00,52,false
3,strong_nw_foehn,20:00,20,true
3,strong_nw_foehn,21:00,17,true
3,strong_nw_foehn,22:00,17,true
3,strong_nw_foehn,23:00,18,true
4,calm_radiative,20:00,15,true
4,calm_radiative,21:00,15,true
4,calm_radiative,22:00,13,true
4,calm_radiative,23:00,12,true
4,insufficient,20:00,4,true
4,insufficient,21:00,2,true
4,insufficient,22:00,2,true
4,insufficient,23:00,2,true
4,southerly_disrupted,20:00,347,false
4,southerly_disrupted,21:00,350,false
4,southerly_disrupted,22:00,351,false
4,southerly_disrupted,23:00,364,false
4,standard_nw,20:00,64,false
4,standard_nw,21:00,61,false
4,standard_nw,22:00,58,false
4,standard_nw,23:00,47,false
4,strong_nw_foehn,20:00,22,true
4,strong_nw_foehn,21:00,24,true
4,strong_nw_foehn,22:00,28,true
4,strong_nw_foehn,23:00,27,true
5,calm_radiative,20:00,9,true
5,calm_radiative,21:00,9,true
5,calm_radiative,22:00,9,true
5,calm_radiative,23:00,8,true
5,insufficient,20:00,3,true
5,insufficient,21:00,3,true
5,insufficient,22:00,3,true
5,insufficient,23:00,3,true
5,southerly_disrupted,20:00,381,false
5,southerly_disrupted,21:00,384,false
5,southerly_disrupted,22:00,388,false
5,southerly_disrupted,23:00,392,false
5,standard_nw,20:00,55,false
5,standard_nw,21:00,52,false
5,standard_nw,22:00,48,false
5,standard_nw,23:00,46,false
5,strong_nw_foehn,20:00,20,true
5,strong_nw_foehn,21:00,20,true
5,strong_nw_foehn,22:00,20,true
5,strong_nw_foehn,23:00,19,true
6,calm_radiative,20:00,8,true
6,calm_radiative,21:00,9,true
6,calm_radiative,22:00,8,true
6,calm_radiative,23:00,8,true
6,insufficient,20:00,4,true
6,insufficient,21:00,4,true
6,insufficient,22:00,4,true
6,insufficient,23:00,4,true
6,southerly_disrupted,20:00,356,false
6,southerly_disrupted,21:00,360,false
6,southerly_disrupted,22:00,363,false
6,southerly_disrupted,23:00,366,false
6,standard_nw,20:00,39,false
6,standard_nw,21:00,37,false
6,standard_nw,22:00,35,false
6,standard_nw,23:00,29,true
6,strong_nw_foehn,20:00,20,true
6,strong_nw_foehn,21:00,17,true
6,strong_nw_foehn,22:00,17,true
6,strong_nw_foehn,23:00,20,true
7,calm_radiative,20:00,12,true
7,calm_radiative,21:00,11,true
7,calm_radiative,22:00,10,true
7,calm_radiative,23:00,10,true
7,insufficient,20:00,4,true
7,insufficient,21:00,4,true
7,insufficient,22:00,3,true
7,insufficient,23:00,3,true
7,southerly_disrupted,20:00,361,false
7,southerly_disrupted,21:00,367,false
7,southerly_disrupted,22:00,370,false
7,southerly_disrupted,23:00,370,false
7,standard_nw,20:00,44,false
7,standard_nw,21:00,41,false
7,standard_nw,22:00,42,false
7,standard_nw,23:00,42,false
7,strong_nw_foehn,20:00,14,true
7,strong_nw_foehn,21:00,12,true
7,strong_nw_foehn,22:00,10,true
7,strong_nw_foehn,23:00,10,true
8,calm_radiative,20:00,15,true
8,calm_radiative,21:00,16,true
8,calm_radiative,22:00,16,true
8,calm_radiative,23:00,19,true
8,insufficient,20:00,4,true
8,insufficient,21:00,3,true
8,insufficient,22:00,3,true
8,insufficient,23:00,3,true
8,southerly_disrupted,20:00,344,false
8,southerly_disrupted,21:00,347,false
8,southerly_disrupted,22:00,349,false
8,southerly_disrupted,23:00,348,false
8,standard_nw,20:00,68,false
8,standard_nw,21:00,66,false
8,standard_nw,22:00,63,false
8,standard_nw,23:00,61,false
8,strong_nw_foehn,20:00,14,true
8,strong_nw_foehn,21:00,13,true
8,strong_nw_foehn,22:00,14,true
8,strong_nw_foehn,23:00,14,true
9,calm_radiative,20:00,12,true
9,calm_radiative,21:00,11,true
9,calm_radiative,22:00,10,true
9,calm_radiative,23:00,12,true
9,southerly_disrupted,20:00,334,false
9,southerly_disrupted,21:00,340,false
9,southerly_disrupted,22:00,343,false
9,southerly_disrupted,23:00,345,false
9,standard_nw,20:00,66,false
9,standard_nw,21:00,62,false
9,standard_nw,22:00,56,false
9,standard_nw,23:00,48,false
9,strong_nw_foehn,20:00,38,false
9,strong_nw_foehn,21:00,37,false
9,strong_nw_foehn,22:00,41,false
9,strong_nw_foehn,23:00,45,false
10,calm_radiative,20:00,10,true
10,calm_radiative,21:00,9,true
10,calm_radiative,22:00,12,true
10,calm_radiative,23:00,11,true
10,southerly_disrupted,20:00,349,false
10,southerly_disrupted,21:00,353,false
10,southerly_disrupted,22:00,359,false
10,southerly_disrupted,23:00,372,false
10,standard_nw,20:00,57,false
10,standard_nw,21:00,55,false
10,standard_nw,22:00,47,false
10,standard_nw,23:00,41,false
10,strong_nw_foehn,20:00,48,false
10,strong_nw_foehn,21:00,47,false
10,strong_nw_foehn,22:00,46,false
10,strong_nw_foehn,23:00,40,false
11,calm_radiative,20:00,12,true
11,calm_radiative,21:00,12,true
11,calm_radiative,22:00,11,true
11,calm_radiative,23:00,10,true
11,insufficient,20:00,4,true
11,insufficient,21:00,4,true
11,insufficient,22:00,4,true
11,insufficient,23:00,4,true
11,southerly_disrupted,20:00,347,false
11,southerly_disrupted,21:00,350,false
11,southerly_disrupted,22:00,355,false
11,southerly_disrupted,23:00,372,false
11,standard_nw,20:00,58,false
11,standard_nw,21:00,52,false
11,standard_nw,22:00,46,false
11,standard_nw,23:00,31,false
11,strong_nw_foehn,20:00,32,false
11,strong_nw_foehn,21:00,35,false
11,strong_nw_foehn,22:00,37,false
11,strong_nw_foehn,23:00,36,false
12,calm_radiative,20:00,24,true
12,calm_radiative,21:00,21,true
12,calm_radiative,22:00,22,true
12,calm_radiative,23:00,18,true
12,insufficient,20:00,3,true
12,insufficient,21:00,3,true
12,insufficient,22:00,3,true
12,insufficient,23:00,3,true
12,southerly_disrupted,20:00,358,false
12,southerly_disrupted,21:00,363,false
12,southerly_disrupted,22:00,370,false
12,southerly_disrupted,23:00,379,false
12,standard_nw,20:00,74,false
12,standard_nw,21:00,69,false
12,standard_nw,22:00,61,false
12,standard_nw,23:00,50,false
12,strong_nw_foehn,20:00,32,false
12,strong_nw_foehn,21:00,35,false
12,strong_nw_foehn,22:00,35,false
12,strong_nw_foehn,23:00,41,false
