month,cp,regime_label,n_rows,total_rows,share
1,20:00,calm_radiative,16,482,0.03319502074688797
1,20:00,insufficient,4,482,0.008298755186721992
1,20:00,southerly_disrupted,358,482,0.7427385892116183
1,20:00,standard_nw,62,482,0.12863070539419086
1,20:00,strong_nw_foehn,42,482,0.08713692946058091
1,21:00,calm_radiative,16,482,0.03319502074688797
1,21:00,insufficient,4,482,0.008298755186721992
1,21:00,southerly_disrupted,367,482,0.7614107883817427
1,21:00,standard_nw,52,482,0.1078838174273859
1,21:00,strong_nw_foehn,43,482,0.08921161825726141
1,22:00,calm_radiative,16,482,0.03319502074688797
1,22:00,insufficient,4,482,0.008298755186721992
1,22:00,southerly_disrupted,374,482,0.7759336099585062
1,22:00,standard_nw,44,482,0.0912863070539419
1,22:00,strong_nw_foehn,44,482,0.0912863070539419
1,23:00,calm_radiative,15,482,0.03112033195020747
1,23:00,insufficient,4,482,0.008298755186721992
1,23:00,southerly_disrupted,383,482,0.7946058091286307
1,23:00,standard_nw,35,482,0.07261410788381743
1,23:00,strong_nw_foehn,45,482,0.09336099585062241
2,20:00,calm_radiative,16,424,0.03773584905660377
2,20:00,insufficient,2,424,0.0047169811320754715
2,20:00,southerly_disrupted,339,424,0.7995283018867925
2,20:00,standard_nw,47,424,0.11084905660377359
2,20:00,strong_nw_foehn,20,424,0.04716981132075472
2,21:00,calm_radiative,16,424,0.03773584905660377
2,21:00,insufficient,2,424,0.0047169811320754715
2,21:00,southerly_disrupted,340,424,0.8018867924528302
2,21:00,standard_nw,47,424,0.11084905660377359
2,21:00,strong_nw_foehn,19,424,0.04481132075471698
2,22:00,calm_radiative,15,424,0.03537735849056604
2,22:00,insufficient,2,424,0.0047169811320754715
2,22:00,southerly_disrupted,345,424,0.8136792452830188
2,22:00,standard_nw,40,424,0.09433962264150944
2,22:00,strong_nw_foehn,22,424,0.05188679245283019
2,23:00,calm_radiative,15,424,0.03537735849056604
2,23:00,insufficient,1,424,0.0023584905660377358
2,23:00,southerly_disrupted,350,424,0.8254716981132075
2,23:00,standard_nw,36,424,0.08490566037735849
2,23:00,strong_nw_foehn,22,424,0.05188679245283019
3,20:00,calm_radiative,13,465,0.02795698924731183
3,20:00,southerly_disrupted,368,465,0.7913978494623656
3,20:00,standard_nw,64,465,0.13763440860215054
3,20:00,strong_nw_foehn,20,465,0.043010752688172046
3,21:00,calm_radiative,13,465,0.02795698924731183
3,21:00,southerly_disrupted,374,465,0.8043010752688172
3,21:00,standard_nw,61,465,0.13118279569892474
3,21:00,strong_nw_foehn,17,465,0.03655913978494624
3,22:00,calm_radiative,13,465,0.02795698924731183
3,22:00,southerly_disrupted,380,465,0.8172043010752689
3,22:00,standard_nw,55,465,0.11827956989247312
3,22:00,strong_nw_foehn,17,465,0.03655913978494624
3,23:00,calm_radiative,12,465,0.025806451612903226
3,23:00,southerly_disrupted,383,465,0.8236559139784946
3,23:00,standard_nw,52,465,0.11182795698924732
3,23:00,strong_nw_foehn,18,465,0.03870967741935484
4,20:00,calm_radiative,15,452,0.033185840707964605
4,20:00,insufficient,4,452,0.008849557522123894
4,20:00,southerly_disrupted,347,452,0.7676991150442478
4,20:00,standard_nw,64,452,0.1415929203539823
4,20:00,strong_nw_foehn,22,452,0.048672566371681415
4,21:00,calm_radiative,15,452,0.033185840707964605
4,21:00,insufficient,2,452,0.004424778761061947
4,21:00,southerly_disrupted,350,452,0.7743362831858407
4,21:00,standard_nw,61,452,0.13495575221238937
4,21:00,strong_nw_foehn,24,452,0.05309734513274336
4,22:00,calm_radiative,13,452,0.028761061946902654
4,22:00,insufficient,2,452,0.004424778761061947
4,22:00,southerly_disrupted,351,452,0.7765486725663717
4,22:00,standard_nw,58,452,0.12831858407079647
4,22:00,strong_nw_foehn,28,452,0.061946902654867256
4,23:00,calm_radiative,12,452,0.02654867256637168
4,23:00,insufficient,2,452,0.004424778761061947
4,23:00,southerly_disrupted,364,452,0.8053097345132744
4,23:00,standard_nw,47,452,0.10398230088495575
4,23:00,strong_nw_foehn,27,452,0.059734513274336286
5,20:00,calm_radiative,9,468,0.019230769230769232
5,20:00,insufficient,3,468,0.00641025641025641
5,20:00,southerly_disrupted,381,468,0.8141025641025641
5,20:00,standard_nw,55,468,0.11752136752136752
5,20:00,strong_nw_foehn,20,468,0.042735042735042736
5,21:00,calm_radiative,9,468,0.019230769230769232
5,21:00,insufficient,3,468,0.00641025641025641
5,21:00,southerly_disrupted,384,468,0.8205128205128205
5,21:00,standard_nw,52,468,0.1111111111111111
5,21:00,strong_nw_foehn,20,468,0.042735042735042736
5,22:00,calm_radiative,9,468,0.019230769230769232
5,22:00,insufficient,3,468,0.00641025641025641
5,22:00,southerly_disrupted,388,468,0.8290598290598291
5,22:00,standard_nw,48,468,0.10256410256410256
5,22:00,strong_nw_foehn,20,468,0.042735042735042736
5,23:00,calm_radiative,8,468,0.017094017094017096
5,23:00,insufficient,3,468,0.00641025641025641
5,23:00,southerly_disrupted,392,468,0.8376068376068376
5,23:00,standard_nw,46,468,0.09829059829059829
