month,regime_label,cp,n_rows,p10_remaining_warming,p25_remaining_warming,p50_remaining_warming,p75_remaining_warming,p90_remaining_warming
1,calm_radiative,20:00,16,1.0,2.0,3.0,3.0,5.0
1,calm_radiative,21:00,16,1.0,2.0,2.0,3.0,6.0
1,calm_radiative,22:00,16,1.0,1.0,2.0,2.0,6.0
1,calm_radiative,23:00,15,0.0,1.0,1.0,2.0,5.0
1,insufficient,20:00,4,0.0,0.0,0.0,0.0,0.0
1,insufficient,21:00,4,0.0,0.0,0.0,0.0,0.0
1,insufficient,22:00,4,0.0,0.0,0.0,0.0,0.0
1,insufficient,23:00,4,0.0,0.0,0.0,0.0,0.0
1,southerly_disrupted,20:00,358,1.0,2.0,3.0,5.0,6.0
1,southerly_disrupted,21:00,367,0.0,2.0,3.0,4.0,5.0
1,southerly_disrupted,22:00,374,0.0,1.0,2.0,3.0,4.0
1,southerly_disrupted,23:00,383,0.0,1.0,1.0,2.0,4.0
1,standard_nw,20:00,62,1.0,3.0,4.0,5.0,7.0
1,standard_nw,21:00,52,1.0,2.0,3.0,4.0,6.0
1,standard_nw,22:00,44,1.0,1.0,2.0,3.0,4.0
1,standard_nw,23:00,35,0.0,1.0,2.0,3.0,3.0
1,strong_nw_foehn,20:00,42,2.0,2.0,3.0,4.0,5.0
1,strong_nw_foehn,21:00,43,1.0,2.0,3.0,4.0,4.0
1,strong_nw_foehn,22:00,44,0.0,1.0,2.0,3.0,3.0
1,strong_nw_foehn,23:00,45,0.0,1.0,2.0,2.0,3.0
2,calm_radiative,20:00,16,2.0,2.0,3.0,3.0,6.0
2,calm_radiative,21:00,16,2.0,2.0,2.0,3.0,6.0
2,calm_radiative,22:00,15,0.0,1.0,2.0,3.0,6.0
2,calm_radiative,23:00,15,0.0,0.0,1.0,2.0,3.0
2,insufficient,20:00,2,,,,,
2,insufficient,21:00,2,,,,,
2,insufficient,22:00,2,2.0,2.0,2.0,2.0,2.0
2,insufficient,23:00,1,,,,,
