month,n_days,mean_tmax_anomaly,p05_tmax_anomaly,p25_tmax_anomaly,p50_tmax_anomaly,p75_tmax_anomaly,p95_tmax_anomaly
1,482,1.6510536598574943e-15,-3.96473029045643,-1.9647302904564299,0.035269709543570116,2.03526970954357,5.03526970954357
2,424,-1.0725173369963776e-15,-5.044811320754718,-2.044811320754718,-0.044811320754718054,1.955188679245282,3.955188679245282
3,465,8.175061583476421e-16,-4.520430107526881,-2.520430107526881,0.4795698924731191,1.479569892473119,4.479569892473119
4,452,-1.697756979249797e-15,-3.6637168141592937,-1.6637168141592937,0.33628318584070627,1.3362831858407063,3.3362831858407063
5,468,6.680316319112053e-16,-3.6880341880341874,-1.6880341880341874,0.31196581196581263,1.3119658119658126,3.3119658119658126
6,427,6.988944941902625e-16,-3.770491803278688,-1.7704918032786878,0.22950819672131217,1.2295081967213122,3.229508196721312
7,435,3.185191574097001e-16,-2.951724137931034,-0.9517241379310342,0.048275862068965836,1.0482758620689658,3.048275862068966
8,445,-4.390994434472529e-17,-3.2179775280898877,-1.2179775280898877,-0.21797752808988768,1.7820224719101123,2.7820224719101123
9,450,5.605392693218568e-16,-4.257777777777777,-1.2577777777777772,0.7422222222222228,1.7422222222222228,2.742222222222223
10,464,-3.062684205862501e-16,-3.993534482758621,-0.993534482758621,0.006465517241379004,1.006465517241379,3.006465517241379
11,453,1.2469789733538183e-15,-4.668874172185429,-1.6688741721854292,0.3311258278145708,1.3311258278145708,3.331125827814571
12,491,7.886879653548974e-16,-4.698574338085539,-1.698574338085539,0.3014256619144611,1.301425661914461,3.301425661914461
