month,regime_label,n_rows,p10_tmax_hour,p25_tmax_hour,p50_tmax_hour,p75_tmax_hour,p90_tmax_hour
1,calm_radiative,63,10.0,12.0,13.0,15.0,16.0
1,insufficient,16,1.0,13.0,14.0,14.0,17.0
1,southerly_disrupted,1482,9.0,12.0,13.0,15.0,17.0
1,standard_nw,193,11.0,12.0,13.0,15.0,17.0
1,strong_nw_foehn,174,10.0,12.0,13.0,14.0,15.0
2,calm_radiative,62,0.0,11.0,13.0,15.0,16.0
2,insufficient,7,12.0,12.0,17.0,17.0,17.0
2,southerly_disrupted,1374,9.0,12.0,13.0,15.0,16.0
2,standard_nw,170,10.0,12.0,13.0,14.0,16.0
2,strong_nw_foehn,83,10.0,12.0,13.0,15.0,15.0
3,calm_radiative,51,12.0,13.0,15.0,16.0,17.0
3,southerly_disrupted,1505,9.0,12.0,13.0,14.0,16.0
3,standard_nw,232,10.0,12.0,14.0,15.0,15.0
3,strong_nw_foehn,72,11.0,12.0,13.0,13.0,14.0
4,calm_radiative,55,0.0,8.0,11.0,11.0,14.0
4,insufficient,10,0.0,0.0,7.0,7.0,13.0
4,southerly_disrupted,1412,0.0,10.0,12.0,13.0,14.0
4,standard_nw,230,10.0,11.0,13.0,13.0,15.0
4,strong_nw_foehn,101,10.0,11.0,12.0,14.0,15.0
5,calm_radiative,35,0.0,0.0,12.0,15.0,16.0
5,insufficient,12,3.0,3.0,16.0,17.0,17.0
5,southerly_disrupted,1545,0.0,10.0,12.0,13.0,14.0
5,standard_nw,201,10.0,12.0,12.0,13.0,15.0
5,strong_nw_foehn,79,10.0,11.0,11.0,12.0,14.0
6,calm_radiative,33,0.0,6.0,12.0,13.0,13.0
6,insufficient,16,2.0,20.0,21.0,21.0,22.0
6,southerly_disrupted,1445,0.0,6.0,11.0,13.0,14.0
6,standard_nw,140,5.0,10.0,12.0,14.0,15.0
6,strong_nw_foehn,74,8.0,10.0,11.0,14.0,14.0
7,calm_radiative,43,0.0,12.0,12.0,13.0,14.0
7,insufficient,14,14.0,18.0,18.0,19.0,19.0
7,southerly_disrupted,1468,0.0,11.0,12.0,13.0,15.0
7,standard_nw,169,6.0,11.0,12.0,13.0,14.0
7,strong_nw_foehn,46,0.0,10.0,11.0,12.0,13.0
8,calm_radiative,66,9.0,12.0,13.0,13.0,14.0
8,insufficient,13,5.0,5.0,7.0,18.0,18.0
8,southerly_disrupted,1388,0.0,10.0,12.0,13.0,14.0
8,standard_nw,258,10.0,11.0,12.0,13.0,14.0
8,strong_nw_foehn,55,10.0,11.0,12.0,14.0,14.0
9,calm_radiative,45,4.0,10.0,11.0,13.0,15.0
9,southerly_disrupted,1362,0.0,10.0,12.0,14.0,15.0
9,standard_nw,232,10.0,11.0,12.0,14.0,15.0
9,strong_nw_foehn,161,9.0,11.0,12.0,13.0,14.0
10,calm_radiative,42,11.0,11.0,12.0,14.0,16.0
10,southerly_disrupted,1433,0.0,11.0,13.0,14.0,16.0
10,standard_nw,200,10.0,12.0,13.0,15.0,15.0
10,strong_nw_foehn,181,10.0,11.0,13.0,14.0,14.0
11,calm_radiative,45,11.0,12.0,14.0,15.0,17.0
11,insufficient,16,0.0,1.0,19.0,19.0,22.0
11,southerly_disrupted,1424,8.0,11.0,13.0,14.0,16.0
11,standard_nw,187,10.0,11.0,12.0,14.0,15.0
11,strong_nw_foehn,140,11.0,11.0,13.0,14.0,16.0
12,calm_radiative,85,12.0,13.0,15.0,17.0,19.0
12,insufficient,12,8.0,8.0,13.0,19.0,19.0
12,southerly_disrupted,1470,4.0,11.0,13.0,15.0,16.0
12,standard_nw,254,9.0,11.0,13.0,15.0,16.0
12,strong_nw_foehn,143,10.0,12.0,14.0,14.0,16.0
