stratum_type,stratum_value,k,n_rows,eta2_tmax_anomaly,eta2_remaining_warming,tmax_anomaly_cluster_spread,remaining_warming_cluster_spread,outcome_usage
month,1,2,1623,0.024395595099331792,0.000322451752232862,0.9356074467872755,0.06713386518334197,Evaluation only after causal cluster assignment; not used in clustering.
month,1,3,1623,0.033582223388929654,0.019774379246196738,1.307758741594266,0.5790185648967214,Evaluation only after causal cluster assignment; not used in clustering.
month,1,4,1623,0.23740922218636176,0.004497091168553687,3.4419692907628567,0.29754947736241233,Evaluation only after causal cluster assignment; not used in clustering.
month,1,5,1623,0.2935968977773,0.052724668171004706,3.850265726157116,1.2468080340476368,Evaluation only after causal cluster assignment; not used in clustering.
month,1,6,1623,0.2697166315537575,0.060432722240916364,3.7536319837505108,1.5316856780735106,Evaluation only after causal cluster assignment; not used in clustering.
month,2,2,1514,0.02366158972429062,0.028586476904766678,0.830847181634463,0.6129418007880085,Evaluation only after causal cluster assignment; not used in clustering.
month,2,3,1514,0.19207747355816068,0.05841653128725232,2.8005481288332295,1.1130289130298756,Evaluation only after causal cluster assignment; not used in clustering.
month,2,4,1514,0.34253139881001415,0.08389172057111745,3.7238790016567798,1.4243034447821683,Evaluation only after causal cluster assignment; not used in clustering.
month,2,5,1514,0.35348148667523377,0.08350562907629124,3.9998334998335,1.5037409700722395,Evaluation only after causal cluster assignment; not used in clustering.
month,2,6,1514,0.3654231074108822,0.09738927186606246,3.9530777992373594,1.7066796790284102,Evaluation only after causal cluster assignment; not used in clustering.
month,3,2,1727,0.020908130976545425,0.005650661401957644,0.7760880505278395,0.2665462276579986,Evaluation only after causal cluster assignment; not used in clustering.
month,3,3,1727,0.3212331627929237,0.06038218417928956,3.55703527396829,0.8745747399031607,Evaluation only after causal cluster assignment; not used in clustering.
month,3,4,1727,0.2257984527690088,0.07216553641702651,3.115428952019879,0.9902780049641204,Evaluation only after causal cluster assignment; not used in clustering.
month,3,5,1727,0.4211218105177176,0.09699984038981121,4.7774517766497455,1.468854448607673,Evaluation only after causal cluster assignment; not used in clustering.
month,3,6,1727,0.2887237493323689,0.10190985972740522,3.937834429637709,1.5986021771400298,Evaluation only after causal cluster assignment; not used in clustering.
month,4,2,1608,0.006126542408067217,0.05106959777579262,0.35943300059623406,0.7234531571557707,Evaluation only after causal cluster assignment; not used in clustering.
month,4,3,1608,0.025675937621736842,0.1536398411591037,0.7511103704862504,1.3258456585856015,Evaluation only after causal cluster assignment; not used in clustering.
month,4,4,1608,0.1489953601888496,0.16282854752589077,2.3319662139876387,1.4574623076753273,Evaluation only after causal cluster assignment; not used in clustering.
month,4,5,1608,0.2072881979303465,0.18601764162089607,2.441146540027137,1.6392067124332572,Evaluation only after causal cluster assignment; not used in clustering.
month,4,6,1608,0.35963788579244665,0.22799854879898576,4.234676808071303,2.1270966546195904,Evaluation only after causal cluster assignment; not used in clustering.
month,5,2,1695,0.03485039547557958,0.1178779690428747,0.8751769010389701,1.132844050947499,Evaluation only after causal cluster assignment; not used in clustering.
month,5,3,1695,0.0609384017477796,0.24551230198370327,1.4449653290894624,1.7763537437480565,Evaluation only after causal cluster assignment; not used in clustering.
month,5,4,1695,0.05460517080617734,0.28239378526783,1.5338488543099769,2.1986490267396777,Evaluation only after causal cluster assignment; not used in clustering.
month,5,5,1695,0.3834905452537517,0.2316664095453808,4.202826565620359,1.838946790210902,Evaluation only after causal cluster assignment; not used in clustering.
month,5,6,1695,0.35849903597232424,0.2377883176804931,4.52407880556531,2.1922862453531597,Evaluation only after causal cluster assignment; not used in clustering.
month,6,2,1558,0.04785204832654751,0.09648658279298837,0.9151814345254218,1.058700381829461,Evaluation only after causal cluster assignment; not used in clustering.
month,6,3,1558,0.04657206621436402,0.11324574037696793,1.0352570437226871,1.3727664682931826,Evaluation only after causal cluster assignment; not used in clustering.
month,6,4,1558,0.07726307630818634,0.23705588278350978,1.43840067538383,2.012734746514065,Evaluation only after causal cluster assignment; not used in clustering.
month,6,5,1558,0.22285765992988954,0.3071154682771124,2.530469519770381,2.529501944715201,Evaluation only after causal cluster assignment; not used in clustering.
month,6,6,1558,0.2689525272577646,0.25136245034455257,3.2001306620209062,2.403728332337119,Evaluation only after causal cluster assignment; not used in clustering.
month,7,2,1535,0.10284451067861652,0.1935454924979467,1.1856872496060071,1.4374938305643203,Evaluation only after causal cluster assignment; not used in clustering.
month,7,3,1535,0.16557851971699306,0.22068804372853454,1.8482793947111928,1.811732984255946,Evaluation only after causal cluster assignment; not used in clustering.
month,7,4,1535,0.38424884095819356,0.23805669837860072,3.0229525862068964,1.870696849071987,Evaluation only after causal cluster assignment; not used in clustering.
month,7,5,1535,0.423593523210859,0.2629574080749353,3.345237687610569,2.2229040556900723,Evaluation only after causal cluster assignment; not used in clustering.
month,7,6,1535,0.43842825665392704,0.2542387010187085,3.64869757174393,2.2452607709750567,Evaluation only after causal cluster assignment; not used in clustering.
month,8,2,1576,0.06551011636622975,0.15607499335617,1.0260769055921226,1.2638980911434277,Evaluation only after causal cluster assignment; not used in clustering.
month,8,3,1576,0.15710012673854823,0.2011358905966077,1.874635554934563,1.5538640004419155,Evaluation only after causal cluster assignment; not used in clustering.
month,8,4,1576,0.3922993392053161,0.17612570001395214,3.501531004769965,1.772172444359263,Evaluation only after causal cluster assignment; not used in clustering.
month,8,5,1576,0.363997057736432,0.22172350650588624,3.5283842794759823,1.9611970790828652,Evaluation only after causal cluster assignment; not used in clustering.
month,8,6,1576,0.3978197147707658,0.21713039113769453,3.6959102051348216,1.9888685175484548,Evaluation only after causal cluster assignment; not used in clustering.
month,9,2,1544,0.006103312148755986,0.025052957434533927,0.34495256369257,0.5132501865472767,Evaluation only after causal cluster assignment; not used in clustering.
month,9,3,1544,0.01488393433118029,0.1460094468260419,0.5874602371312898,1.3988577212261422,Evaluation only after causal cluster assignment; not used in clustering.
month,9,4,1544,0.3259248632349686,0.15684076320491358,3.190276263743109,1.529102317621955,Evaluation only after causal cluster assignment; not used in clustering.
