stratum_type,stratum_value,k,cluster_id,n_rows,physical_signature,candidate_regime_family,interpretability_score,dominant_current_regime,promotion_readiness
month,1,2,0,572,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,1,2,1,1051,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,1,3,0,442,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,1,3,1,613,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,1,3,2,568,easterly_component,mixed_or_transition,0.15,southerly_disrupted,design_evidence_only
month,1,4,0,344,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,1,4,1,550,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,1,4,2,356,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,1,4,3,373,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,1,5,0,227,southerly_flow;moist_cloudy_or_rain,southerly_disrupted_candidate,0.5,southerly_disrupted,design_evidence_only
month,1,5,1,503,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,1,5,2,236,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,1,5,3,395,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,1,5,4,262,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,1,6,0,162,southerly_flow;moist_cloudy_or_rain,southerly_disrupted_candidate,0.5,southerly_disrupted,design_evidence_only
month,1,6,1,263,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,1,6,2,400,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,1,6,3,307,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,1,6,4,204,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,1,6,5,287,southerly_flow,southerly_disrupted_candidate,0.35,southerly_disrupted,design_evidence_only
month,2,2,0,606,northerly_nw_flow;windy;moist_cloudy_or_rain,nw_or_foehn_candidate,0.55,southerly_disrupted,design_evidence_only
month,2,2,1,908,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,2,3,0,373,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,2,3,1,584,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,2,3,2,557,easterly_component,mixed_or_transition,0.15,southerly_disrupted,design_evidence_only
month,2,4,0,329,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,2,4,1,462,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,2,4,2,480,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,2,4,3,243,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,2,5,0,272,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,2,5,1,468,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,2,5,2,231,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,2,5,3,456,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,2,5,4,87,easterly_component,mixed_or_transition,0.15,southerly_disrupted,design_evidence_only
month,2,6,0,212,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,2,6,1,147,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,2,6,2,261,easterly_component;moist_cloudy_or_rain,maritime_cloudy_candidate,0.3,southerly_disrupted,design_evidence_only
month,2,6,3,310,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,2,6,4,381,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,2,6,5,203,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,3,2,0,1059,northerly_nw_flow;windy;moist_cloudy_or_rain,nw_or_foehn_candidate,0.55,southerly_disrupted,design_evidence_only
month,3,2,1,668,easterly_component;windy,mixed_or_transition,0.25,southerly_disrupted,design_evidence_only
month,3,3,0,463,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,3,3,1,918,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,3,3,2,346,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,3,4,0,392,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,3,4,1,371,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,3,4,2,758,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,3,4,3,206,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,3,5,0,344,southerly_flow;windy;moist_cloudy_or_rain,southerly_disrupted_candidate,0.6,southerly_disrupted,design_evidence_only
month,3,5,1,197,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
month,3,5,2,500,northerly_nw_flow;windy,nw_or_foehn_candidate,0.4,southerly_disrupted,design_evidence_only
month,3,5,3,527,northerly_nw_flow,nw_or_foehn_candidate,0.3,southerly_disrupted,design_evidence_only
month,3,5,4,159,southerly_flow;windy,southerly_disrupted_candidate,0.44999999999999996,southerly_disrupted,design_evidence_only
