stratum_type,stratum_value,year,best_k_by_bic,all_year_best_k_by_bic,best_k_matches_all_year,n_rows,smallest_cluster_rows,eta2_tmax_anomaly,stability_note
month,12,2010,6,6,true,116,3,0.4171944158351713,Year best-k matches all-year best-k.
season,DJF,2010,6,6,true,116,3,0.4171944158351713,Year best-k matches all-year best-k.
month,1,2011,6,6,true,56,4,0.5558174042070352,Year best-k matches all-year best-k.
month,2,2011,4,6,false,4,1,,Year best-k differs from all-year best-k; inspect before regime promotion.
month,4,2011,2,6,false,4,0,,Year best-k differs from all-year best-k; inspect before regime promotion.
season,DJF,2011,6,6,true,60,4,0.7922988539511285,Year best-k matches all-year best-k.
season,MAM,2011,2,6,false,4,0,,Year best-k differs from all-year best-k; inspect before regime promotion.
month,1,2012,6,6,true,48,4,0.6339869281045751,Year best-k matches all-year best-k.
month,10,2012,6,6,true,116,12,0.39368260523951043,Year best-k matches all-year best-k.
month,11,2012,6,6,true,114,4,0.6970512524935573,Year best-k matches all-year best-k.
month,12,2012,5,6,false,97,8,0.1999751326259947,Year best-k differs from all-year best-k; inspect before regime promotion.
month,2,2012,6,6,true,112,6,0.37242002063983487,Year best-k matches all-year best-k.
month,3,2012,6,6,true,124,8,0.23034935788035768,Year best-k matches all-year best-k.
month,4,2012,6,6,true,116,7,0.6377509652509653,Year best-k matches all-year best-k.
month,5,2012,6,6,true,124,8,0.18719763423710784,Year best-k matches all-year best-k.
month,6,2012,6,6,true,115,7,0.5548819501194119,Year best-k matches all-year best-k.
month,7,2012,6,6,true,104,8,0.4211910899596801,Year best-k matches all-year best-k.
month,8,2012,6,6,true,119,12,0.30398244242251904,Year best-k matches all-year best-k.
month,9,2012,6,6,true,120,4,0.3336802270577106,Year best-k matches all-year best-k.
season,DJF,2012,6,6,true,257,26,0.17845667348830693,Year best-k matches all-year best-k.
season,JJA,2012,6,6,true,338,25,0.2318382040171553,Year best-k matches all-year best-k.
season,MAM,2012,6,6,true,364,20,0.4594540377660779,Year best-k matches all-year best-k.
season,SON,2012,5,6,false,350,28,0.3498002953998609,Year best-k differs from all-year best-k; inspect before regime promotion.
