stratum_type,stratum_value,k,n_rows,n_features,min_cluster_rows,smallest_cluster_rows,underpowered_cluster,sse,aic_approx,bic_approx,silhouette_mean,eta2_tmax_anomaly,eta2_remaining_warming,converged
month,1,2,1623,9,30,572,false,10392.184192444087,36517.9629927204,36620.41159250318,0.21997914537329358,0.024395595099331792,0.000322451752232862,true
month,1,3,1623,9,30,442,false,9103.794567576064,34604.54115650619,34760.910071964114,0.1797899292858463,0.033582223388929654,0.019774379246196738,true
month,1,4,1623,9,30,344,false,8240.336479700727,33168.95164838441,33379.240879517485,0.18248333241411607,0.23740922218636176,0.004497091168553687,true
month,1,5,1623,9,30,227,false,7800.512371888116,32387.732022768723,32651.94156957694,0.1675838456453682,0.2935968977773,0.052724668171004706,true
month,1,6,1623,9,30,162,false,6967.418522368827,30757.94975552129,31076.079618004653,0.18144139925831013,0.2697166315537575,0.060432722240916364,true
month,2,2,1514,9,30,606,false,9657.950781109208,34016.867673781075,34117.99537202703,0.18487558267316564,0.02366158972429062,0.028586476904766678,true
month,2,3,1514,9,30,373,false,8386.532809225082,32113.499059790523,32267.851862376447,0.1673452433763739,0.19207747355816068,0.05841653128725232,true
month,2,4,1514,9,30,243,false,7379.1420722100265,30389.782553874542,30597.36046080044,0.17767863707745135,0.34253139881001415,0.08389172057111745,true
month,2,5,1514,9,30,87,false,7045.0051273983245,29778.374039511116,30039.177050776987,0.1716378241284725,0.35348148667523377,0.08350562907629124,true
month,2,6,1514,9,30,147,false,6156.874359949887,27962.275533627173,28276.303649233017,0.17861753323136376,0.3654231074108822,0.09738927186606246,true
month,3,2,1727,9,30,668,false,11444.142720024996,39388.9084345203,39492.537115005085,0.17286188064012364,0.020908130976545425,0.005650661401957644,true
month,3,3,1727,9,30,346,false,9696.854869360406,36833.799315963064,36991.96940722932,0.21014216351842996,0.3212331627929237,0.06038218417928956,true
month,3,4,1727,9,30,206,false,8711.9970483332,35189.13553206367,35401.84703411139,0.2093982098943814,0.2257984527690088,0.07216553641702651,true
month,3,5,1727,9,30,159,false,7921.641293073476,33730.955377356426,33998.20829018561,0.18844691099878344,0.4211218105177176,0.09699984038981121,true
month,3,6,1727,9,30,176,false,7704.34885457619,33318.65072826114,33640.44505187179,0.1655214781514074,0.2887237493323689,0.10190985972740522,true
month,4,2,1608,9,30,654,false,10415.149812518674,36347.130432059756,36449.4026146048,0.1829901153772077,0.006126542408067217,0.05106959777579262,true
month,4,3,1608,9,30,466,false,9006.367131952475,34263.919410164446,34420.019057206875,0.17121154491819957,0.025675937621736842,0.1536398411591037,true
month,4,4,1608,9,30,274,false,8237.675162751268,32992.819863298806,33202.74697483862,0.17754387352137635,0.1489953601888496,0.16282854752589077,true
month,4,5,1608,9,30,240,false,7648.906318895473,31939.641598968847,32203.39617500605,0.16060471332870813,0.2072881979303465,0.18601764162089607,true
month,4,6,1608,9,30,172,false,7162.968670159328,31009.726162088173,31327.308202622768,0.1631407980765345,0.35963788579244665,0.22799854879898576,true
month,5,2,1695,9,30,696,false,10476.942750792916,37598.04733371922,37701.3206560957,0.21459199886052643,0.03485039547557958,0.1178779690428747,true
month,5,3,1695,9,30,463,false,9196.73446026947,35629.8869356556,35787.51463823023,0.1821974181481688,0.0609384017477796,0.24551230198370327,true
month,5,4,1695,9,30,321,false,8467.764959474252,34390.10044003344,34602.08252280621,0.1469225796045926,0.05460517080617734,0.28239378526783,true
