decision_id,item_id,domain,source_artifact,decision_rationale,reentry_condition
DEC-WCT-IX-001,WCT-IX-001,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-002,WCT-IX-002,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-003,WCT-IX-003,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-004,WCT-IX-004,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-005,WCT-IX-005,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-006,WCT-IX-006,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-007,WCT-IX-007,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-008,WCT-IX-008,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-009,WCT-IX-009,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-010,WCT-IX-010,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-011,WCT-IX-011,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-012,WCT-IX-012,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-013,WCT-IX-013,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-014,WCT-IX-014,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-015,WCT-IX-015,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-016,WCT-IX-016,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-017,WCT-IX-017,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-018,WCT-IX-018,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-019,WCT-IX-019,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-IX-020,WCT-IX-020,IX,reports/onda2e/domain_thesis_evidence.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-TIMING-017,WCT-TIMING-017,TIMING,reports/onda2e/domain_timing_norms_by_month_regime.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
DEC-WCT-TIMING-018,WCT-TIMING-018,TIMING,reports/onda2e/domain_timing_norms_by_month_regime.csv,Removed from active EDA because the adopted atlas lacks a testable thesis definition.,Use this decision only through ADR-012 queues; no production feature or classifier change.
