feature,candidate,feature_role,production_status
slope_3h,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
dewpoint_depression,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
tmax_dminus1,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
tmin_delta_tmax,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
wind_dir_change_s_to_n,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
precip_disruption,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
cloud_cover_suppression,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
pressure_trend_3h,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
foehn_score,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
warming_rate_06_09,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
nocturnal_plateau_flag,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
dewpoint_collapse_rate_3h,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
prefrontal_warming_window,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
nw_sector_not_foehn,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
cloud_base_transparency,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
k_cp,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
cp_sin,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
cp_cos,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
month_sin,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
month_cos,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
doy_sin,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
doy_cos,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
foehn_score_x_macro_non_southerly,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
foehn_score_x_macro_southerly_flow,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
cloud_cover_suppression_x_macro_non_southerly,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
cloud_cover_suppression_x_macro_southerly_flow,hybrid_local_only,local_remaining_warming_input,EXPERIMENT_ONLY
slope_3h,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
dewpoint_depression,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
tmax_dminus1,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
tmin_delta_tmax,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
wind_dir_change_s_to_n,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
precip_disruption,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
cloud_cover_suppression,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
pressure_trend_3h,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
foehn_score,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
warming_rate_06_09,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
nocturnal_plateau_flag,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
dewpoint_collapse_rate_3h,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
prefrontal_warming_window,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
nw_sector_not_foehn,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
cloud_base_transparency,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
k_cp,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
cp_sin,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
cp_cos,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
month_sin,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
month_cos,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
doy_sin,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
doy_cos,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
foehn_score_x_macro_non_southerly,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
foehn_score_x_macro_southerly_flow,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
cloud_cover_suppression_x_macro_non_southerly,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
cloud_cover_suppression_x_macro_southerly_flow,hybrid_om_augmented,local_remaining_warming_input,EXPERIMENT_ONLY
om_anchor_max,hybrid_om_augmented,nwp_anchor_input,EXPERIMENT_ONLY
om_anchor_delta,hybrid_om_augmented,nwp_anchor_input,EXPERIMENT_ONLY
om_anchor_delta_x_lead,hybrid_om_augmented,nwp_anchor_input,EXPERIMENT_ONLY
binary_macro_regime_label,all,categorical_input,EXPERIMENT_ONLY
