feature,included_in_onda3,leakage_class,feature_role,production_status
date_local,false,identifier,join_key,EXPERIMENT_ONLY
cp,false,identifier,join_key,EXPERIMENT_ONLY
regime_label,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
regime_flags,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
slope_3h,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
hours_to_expected_peak,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
dewpoint_depression,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
tmax_dminus1,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
tmin_delta_tmax,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
intraday_regime_change,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
wind_dir_change_s_to_n,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
day_sequence_pattern,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
precip_disruption,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
tmax_hour_by_regime_month,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
cloud_cover_suppression,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
pressure_trend_3h,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
foehn_score,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
late_warming_anomaly,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
regime_score_argmax,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
warming_rate_06_09,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
nocturnal_plateau_flag,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
sst_maritime_cap,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
dewpoint_collapse_rate_3h,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
prefrontal_warming_window,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
nw_sector_not_foehn,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
cloud_base_transparency,true,causal_pre_cp_or_experiment_only,candidate_input,EXPERIMENT_ONLY
foehn_score_x_macro_non_southerly,true,causal_pre_cp_or_experiment_only,interaction_input,EXPERIMENT_ONLY
foehn_score_x_macro_southerly_flow,true,causal_pre_cp_or_experiment_only,interaction_input,EXPERIMENT_ONLY
cloud_cover_suppression_x_macro_non_southerly,true,causal_pre_cp_or_experiment_only,interaction_input,EXPERIMENT_ONLY
cloud_cover_suppression_x_macro_southerly_flow,true,causal_pre_cp_or_experiment_only,interaction_input,EXPERIMENT_ONLY
