iteration_id,iteration_label,month,n_days,any_cp_exact_days,any_cp_exact_pct,n_days_with_cp23,cp23_exact_days,cp23_exact_pct
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-01,31,15,48.38709677419355,31,11,35.483870967741936
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-02,28,12,42.857142857142854,28,9,32.142857142857146
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-03,31,14,45.16129032258064,31,12,38.70967741935484
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-04,30,16,53.333333333333336,30,12,40.0
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-05,31,16,51.61290322580645,31,9,29.03225806451613
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-06,30,12,40.0,30,6,20.0
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-07,31,13,41.935483870967744,31,9,29.03225806451613
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-08,31,18,58.06451612903226,31,13,41.935483870967744
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-09,30,13,43.333333333333336,30,8,26.666666666666668
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-10,31,14,45.16129032258064,31,7,22.58064516129032
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-11,30,13,43.333333333333336,30,8,26.666666666666668
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2025-12,31,13,41.935483870967744,31,9,29.03225806451613
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2026-01,31,10,32.25806451612903,31,9,29.03225806451613
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2026-02,28,11,39.285714285714285,28,7,25.0
onda3_b_cp_specific_holdout,Onda 3B CP-specific holdout 2025+,2026-03,31,7,22.58064516129032,31,5,16.129032258064516
