stage,outer_test_year,candidate_id,candidate_label,month,cp,n_cp_rows,mae,exact_bracket_pct,production_status
test,2024,local_only_onda3f,Local-only Onda 3F,2024-01,20:00,12,2.1834303242190476,0.0,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-01,21:00,12,2.1125485425047192,8.333333333333332,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-01,22:00,12,2.0736739302587464,8.333333333333332,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-01,23:00,12,2.131832173675674,0.0,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-02,20:00,29,1.2249302738748022,24.137931034482758,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-02,21:00,29,1.2476843663977655,10.344827586206897,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-02,22:00,29,1.2101225115877192,13.793103448275861,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-02,23:00,29,1.2042695008683169,10.344827586206897,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-03,20:00,31,1.1524069449849936,29.03225806451613,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-03,21:00,31,1.0227723529990176,32.25806451612903,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-03,22:00,31,0.9976180779374451,38.70967741935484,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-03,23:00,31,0.9501787037143165,32.25806451612903,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-04,20:00,30,0.9310716131810856,40.0,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-04,21:00,30,0.9485982887505138,36.666666666666664,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-04,22:00,30,1.1283512600449654,16.666666666666664,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-04,23:00,30,1.126571173113408,23.333333333333332,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-05,20:00,31,1.2037619692027648,25.806451612903224,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-05,21:00,31,1.0194831277262504,35.483870967741936,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-05,22:00,31,1.1590779951762262,25.806451612903224,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-05,23:00,31,1.1377209374251578,25.806451612903224,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-06,20:00,30,1.018311692145107,33.33333333333333,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-06,21:00,30,1.0415360590949716,30.0,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-06,22:00,30,0.9614780339795473,30.0,EXPERIMENT_ONLY
test,2024,local_only_onda3f,Local-only Onda 3F,2024-06,23:00,30,0.952152390631046,26.666666666666668,EXPERIMENT_ONLY
