outer_test_year,validation_year,candidate_id,candidate_label,baseline_candidate_id,binary_macro_regime_label,candidate_non_southerly_mae,augmented_non_southerly_mae,non_southerly_mae_delta,candidate_non_southerly_exact_pct,augmented_non_southerly_exact_pct,non_southerly_exact_delta_pp,blocked_by_non_southerly_mae,blocked_by_non_southerly_exact,eligible_by_non_southerly_guard,selected_fallback_candidate_id,production_status
2024,2023,om_family_inverse_mae_weighted,om family inverse mae weighted,open_meteo_augmented_onda3f,macro_non_southerly,1.5556265011387942,0.9316782228377584,0.6239482783010358,13.657623947614594,33.86342376052385,-20.205799812909255,true,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2024,2023,om_family_mean_raw,om family mean raw,open_meteo_augmented_onda3f,macro_non_southerly,1.5728250701590272,0.9316782228377584,0.6411468473212688,13.283442469597755,33.86342376052385,-20.579981290926096,true,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2024,2023,om_family_median_raw,om family median raw,open_meteo_augmented_onda3f,macro_non_southerly,1.5728250701590272,0.9316782228377584,0.6411468473212688,13.283442469597755,33.86342376052385,-20.579981290926096,true,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2024,2023,om_family_month_bias_corrected,om family month bias corrected,open_meteo_augmented_onda3f,macro_non_southerly,0.935563154905051,0.9316782228377584,0.003884932067292679,31.15060804490178,33.86342376052385,-2.712815715622071,false,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2024,2023,om_family_recent_bias_corrected,om family recent bias corrected,open_meteo_augmented_onda3f,macro_non_southerly,0.9094786404739631,0.9316782228377584,-0.022199582363795267,31.898971000935454,33.86342376052385,-1.9644527595883972,false,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2024,2023,om_family_regime_bias_corrected,om family regime bias corrected,open_meteo_augmented_onda3f,macro_non_southerly,0.9342507539522007,0.9316782228377584,0.0025725311144423335,30.495790458372312,33.86342376052385,-3.367633302151539,false,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2024,2023,om_family_season_bias_corrected,om family season bias corrected,open_meteo_augmented_onda3f,macro_non_southerly,0.8830047091602238,0.9316782228377584,-0.048673513677534586,35.07951356407858,33.86342376052385,1.2160898035547305,false,false,true,"",EXPERIMENT_ONLY
2025,2024,om_family_inverse_mae_weighted,om family inverse mae weighted,open_meteo_augmented_onda3f,macro_non_southerly,1.3941732670557614,0.8745893662017227,0.5195839008540387,12.022367194780987,34.01677539608574,-21.994408201304754,true,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2025,2024,om_family_mean_raw,om family mean raw,open_meteo_augmented_onda3f,macro_non_southerly,1.4569245107176143,0.8745893662017227,0.5823351445158916,11.276794035414724,34.01677539608574,-22.739981360671017,true,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2025,2024,om_family_median_raw,om family median raw,open_meteo_augmented_onda3f,macro_non_southerly,1.47977632805219,0.8745893662017227,0.6051869618504674,12.022367194780987,34.01677539608574,-21.994408201304754,true,true,false,open_meteo_augmented_onda3f,EXPERIMENT_ONLY
2025,2024,om_family_month_bias_corrected,om family month bias corrected,open_meteo_augmented_onda3f,macro_non_southerly,0.7675159776613358,0.8745893662017227,-0.10707338854038684,39.235787511649576,34.01677539608574,5.219012115563835,false,false,true,"",EXPERIMENT_ONLY
2025,2024,om_family_recent_bias_corrected,om family recent bias corrected,open_meteo_augmented_onda3f,macro_non_southerly,0.7148953091022056,0.8745893662017227,-0.15969405709951712,41.47250698974837,34.01677539608574,7.455731593662627,false,false,true,"",EXPERIMENT_ONLY
2025,2024,om_family_regime_bias_corrected,om family regime bias corrected,open_meteo_augmented_onda3f,macro_non_southerly,0.7021921737216363,0.8745893662017227,-0.17239719248008634,41.845293569431504,34.01677539608574,7.828518173345763,false,false,true,"",EXPERIMENT_ONLY
2025,2024,om_family_season_bias_corrected,om family season bias corrected,open_meteo_augmented_onda3f,macro_non_southerly,0.7394531992807853,0.8745893662017227,-0.13513616692093733,42.124883504193846,34.01677539608574,8.108108108108105,false,false,true,"",EXPERIMENT_ONLY
