iteration_id,iteration_label,month,cp,n_cp_rows,exact_bracket_rows,exact_bracket_pct,mae,production_status
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-01,20:00,31,5,16.129032258064516,1.3246116518172626,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-01,21:00,31,10,32.25806451612903,1.1798009431408025,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-01,22:00,31,11,35.483870967741936,1.153643974030316,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-01,23:00,31,11,35.483870967741936,1.1180851813561956,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-02,20:00,28,7,25.0,1.088762620466135,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-02,21:00,28,6,21.428571428571427,0.9672236994399733,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-02,22:00,28,7,25.0,0.9356123989143726,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-02,23:00,28,7,25.0,0.9356932279839212,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-03,20:00,31,11,35.483870967741936,0.9941732558916068,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-03,21:00,31,13,41.935483870967744,0.9111231928481608,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-03,22:00,31,14,45.16129032258064,0.9551870764117624,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-03,23:00,31,11,35.483870967741936,1.007583868499452,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-04,20:00,30,14,46.666666666666664,0.8090408534406609,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-04,21:00,30,12,40.0,0.8159579463142637,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-04,22:00,30,12,40.0,0.7811555413269372,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-04,23:00,30,11,36.666666666666664,0.7935355843300332,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-05,20:00,31,13,41.935483870967744,0.9603304494311486,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-05,21:00,31,13,41.935483870967744,0.9579838329950112,EXPERIMENT_ONLY
onda3_f_pooled_temporal_regime,Onda 3F pooled temporal/regime,2023-05,22:00,31,10,32.25806451612903,1.0562004071629951,EXPERIMENT_ONLY
