feature,feature_role,source_feature,production_status,macro_value
tmin_delta_tmax,pooled_numeric_input,tmin_delta_tmax,EXPERIMENT_ONLY,
tmax_dminus1,pooled_numeric_input,tmax_dminus1,EXPERIMENT_ONLY,
regime_score_argmax,pooled_categorical_input,regime_score_argmax,EXPERIMENT_ONLY,
regime_label,pooled_categorical_input,regime_label,EXPERIMENT_ONLY,
dewpoint_collapse_rate_3h,pooled_numeric_input,dewpoint_collapse_rate_3h,EXPERIMENT_ONLY,
cloud_cover_suppression_x_macro_southerly_flow,continuous_x_binary_macro,cloud_cover_suppression,EXPERIMENT_ONLY,macro_southerly_flow
precip_disruption,pooled_numeric_input,precip_disruption,EXPERIMENT_ONLY,
pressure_trend_3h,pooled_numeric_input,pressure_trend_3h,EXPERIMENT_ONLY,
doy_cos,pooled_temporal_cyclic,cp_or_date_local,EXPERIMENT_ONLY,
month_sin,pooled_temporal_cyclic,cp_or_date_local,EXPERIMENT_ONLY,
cloud_cover_suppression_x_macro_non_southerly,continuous_x_binary_macro,cloud_cover_suppression,EXPERIMENT_ONLY,macro_non_southerly
foehn_score_x_macro_non_southerly,continuous_x_binary_macro,foehn_score,EXPERIMENT_ONLY,macro_non_southerly
month_cos,pooled_temporal_cyclic,cp_or_date_local,EXPERIMENT_ONLY,
cp_sin,pooled_temporal_cyclic,cp_or_date_local,EXPERIMENT_ONLY,
binary_macro_regime_label,pooled_categorical_input,binary_macro_regime_label,EXPERIMENT_ONLY,
day_sequence_pattern,pooled_categorical_input,day_sequence_pattern,EXPERIMENT_ONLY,
nw_sector_not_foehn,pooled_numeric_input,nw_sector_not_foehn,EXPERIMENT_ONLY,
foehn_score,pooled_numeric_input,foehn_score,EXPERIMENT_ONLY,
warming_rate_06_09,pooled_numeric_input,warming_rate_06_09,EXPERIMENT_ONLY,
cloud_base_transparency,pooled_numeric_input,cloud_base_transparency,EXPERIMENT_ONLY,
cloud_cover_suppression,pooled_numeric_input,cloud_cover_suppression,EXPERIMENT_ONLY,
cp_cos,pooled_temporal_cyclic,cp_or_date_local,EXPERIMENT_ONLY,
wind_dir_change_s_to_n,pooled_numeric_input,wind_dir_change_s_to_n,EXPERIMENT_ONLY,
dewpoint_depression,pooled_numeric_input,dewpoint_depression,EXPERIMENT_ONLY,
doy_sin,pooled_temporal_cyclic,cp_or_date_local,EXPERIMENT_ONLY,
nocturnal_plateau_flag,pooled_numeric_input,nocturnal_plateau_flag,EXPERIMENT_ONLY,
slope_3h,pooled_numeric_input,slope_3h,EXPERIMENT_ONLY,
foehn_score_x_macro_southerly_flow,continuous_x_binary_macro,foehn_score,EXPERIMENT_ONLY,macro_southerly_flow
prefrontal_warming_window,pooled_numeric_input,prefrontal_warming_window,EXPERIMENT_ONLY,
