model_name,cp,n_train,n_test,mae,beats_train_mean_null,production_status,test_year
train_mean_null,20:00,4206,365,2.901045473198757,false,EXPERIMENT_ONLY,2023
ridge_challenger,20:00,4206,365,1.3284799607654612,true,EXPERIMENT_ONLY,2023
train_mean_null,21:00,4206,365,2.901045473198757,false,EXPERIMENT_ONLY,2023
ridge_challenger,21:00,4206,365,1.2115345202493055,true,EXPERIMENT_ONLY,2023
train_mean_null,22:00,4206,365,2.901045473198757,false,EXPERIMENT_ONLY,2023
ridge_challenger,22:00,4206,365,1.1253194844495127,true,EXPERIMENT_ONLY,2023
train_mean_null,23:00,4206,365,2.901045473198757,false,EXPERIMENT_ONLY,2023
ridge_challenger,23:00,4206,365,1.1206958953579038,true,EXPERIMENT_ONLY,2023
train_mean_null,20:00,4571,366,3.1402611856883444,false,EXPERIMENT_ONLY,2024
ridge_challenger,20:00,4571,366,1.3368947066521863,true,EXPERIMENT_ONLY,2024
train_mean_null,21:00,4571,366,3.1402611856883444,false,EXPERIMENT_ONLY,2024
ridge_challenger,21:00,4571,366,1.20568745437114,true,EXPERIMENT_ONLY,2024
train_mean_null,22:00,4571,366,3.1402611856883444,false,EXPERIMENT_ONLY,2024
ridge_challenger,22:00,4571,366,1.1361141378350188,true,EXPERIMENT_ONLY,2024
train_mean_null,23:00,4571,366,3.1402611856883444,false,EXPERIMENT_ONLY,2024
ridge_challenger,23:00,4571,366,1.1394583343799836,true,EXPERIMENT_ONLY,2024
train_mean_null,20:00,4937,365,2.8152901906487493,false,EXPERIMENT_ONLY,2025
ridge_challenger,20:00,4937,365,1.3082047863177653,true,EXPERIMENT_ONLY,2025
train_mean_null,21:00,4937,365,2.8152901906487493,false,EXPERIMENT_ONLY,2025
ridge_challenger,21:00,4937,365,1.2580350789080303,true,EXPERIMENT_ONLY,2025
train_mean_null,22:00,4937,365,2.8152901906487493,false,EXPERIMENT_ONLY,2025
ridge_challenger,22:00,4937,365,1.1288800812597533,true,EXPERIMENT_ONLY,2025
train_mean_null,23:00,4937,365,2.8152901906487493,false,EXPERIMENT_ONLY,2025
ridge_challenger,23:00,4937,365,1.1315640357958285,true,EXPERIMENT_ONLY,2025
