probe_id,source_id,endpoint,model,date_local,cp,cp_utc,target_valid_time_utc,selected_run_time_utc,selected_available_time_utc,selected_lead_h,causal_class,success,error,production_status
om_probe_00001,historical_forecast_best_match,historical_forecast,best_match,2022-01-15,20:00,2022-01-15T07:00:00+00:00,2022-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00002,historical_forecast_best_match,historical_forecast,best_match,2022-01-15,21:00,2022-01-15T08:00:00+00:00,2022-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00003,historical_forecast_best_match,historical_forecast,best_match,2022-01-15,22:00,2022-01-15T09:00:00+00:00,2022-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00004,historical_forecast_best_match,historical_forecast,best_match,2022-01-15,23:00,2022-01-15T10:00:00+00:00,2022-01-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00005,historical_forecast_best_match,historical_forecast,best_match,2022-04-15,20:00,2022-04-15T08:00:00+00:00,2022-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00006,historical_forecast_best_match,historical_forecast,best_match,2022-04-15,21:00,2022-04-15T09:00:00+00:00,2022-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00007,historical_forecast_best_match,historical_forecast,best_match,2022-04-15,22:00,2022-04-15T10:00:00+00:00,2022-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00008,historical_forecast_best_match,historical_forecast,best_match,2022-04-15,23:00,2022-04-15T11:00:00+00:00,2022-04-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00009,historical_forecast_best_match,historical_forecast,best_match,2022-07-15,20:00,2022-07-15T08:00:00+00:00,2022-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00010,historical_forecast_best_match,historical_forecast,best_match,2022-07-15,21:00,2022-07-15T09:00:00+00:00,2022-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00011,historical_forecast_best_match,historical_forecast,best_match,2022-07-15,22:00,2022-07-15T10:00:00+00:00,2022-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00012,historical_forecast_best_match,historical_forecast,best_match,2022-07-15,23:00,2022-07-15T11:00:00+00:00,2022-07-15T11:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00013,historical_forecast_best_match,historical_forecast,best_match,2022-10-15,20:00,2022-10-15T07:00:00+00:00,2022-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00014,historical_forecast_best_match,historical_forecast,best_match,2022-10-15,21:00,2022-10-15T08:00:00+00:00,2022-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00015,historical_forecast_best_match,historical_forecast,best_match,2022-10-15,22:00,2022-10-15T09:00:00+00:00,2022-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
om_probe_00016,historical_forecast_best_match,historical_forecast,best_match,2022-10-15,23:00,2022-10-15T10:00:00+00:00,2022-10-15T10:00:00+00:00,,,,seamless_historical_forecast,false,plan_only_not_requested,EXPERIMENT_ONLY
