feature,feature_source,non_null_rows,n_rows,production_status
om_source_id,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_endpoint,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_model,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_causal_class,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_feature_status,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_request_url_sha256,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_response_sha256,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_run_time_utc,open_meteo_previous_runs,0,4384,EXPERIMENT_ONLY
om_available_time_utc,open_meteo_previous_runs,0,4384,EXPERIMENT_ONLY
om_valid_time_utc,open_meteo_previous_runs,0,4384,EXPERIMENT_ONLY
om_lead_h,open_meteo_previous_runs,0,4384,EXPERIMENT_ONLY
om_fixed_lead_days,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_fixed_lead_hours,open_meteo_previous_runs,4384,4384,EXPERIMENT_ONLY
om_prev_d1_temp_23_local_c,open_meteo_previous_runs,4300,4384,EXPERIMENT_ONLY
om_prev_d1_temp_cp_c,open_meteo_previous_runs,4303,4384,EXPERIMENT_ONLY
om_prev_d1_remaining_warming_c,open_meteo_previous_runs,4300,4384,EXPERIMENT_ONLY
om_prev_d1_day_max_c,open_meteo_previous_runs,4304,4384,EXPERIMENT_ONLY
om_prev_d1_day_min_c,open_meteo_previous_runs,4304,4384,EXPERIMENT_ONLY
om_prev_d1_cloud_cover_mean_pct,open_meteo_previous_runs,2848,4384,EXPERIMENT_ONLY
om_prev_d1_cloud_cover_low_mean_pct,open_meteo_previous_runs,0,4384,EXPERIMENT_ONLY
om_prev_d1_pressure_msl_mean_hpa,open_meteo_previous_runs,2848,4384,EXPERIMENT_ONLY
om_prev_d1_wind_speed_10m_mean,open_meteo_previous_runs,2848,4384,EXPERIMENT_ONLY
om_prev_d1_wind_gusts_10m_max,open_meteo_previous_runs,2848,4384,EXPERIMENT_ONLY
om_prev_d1_wind_dir_10m_circular_mean,open_meteo_previous_runs,2848,4384,EXPERIMENT_ONLY
om_prev_d1_dewpoint_depression_23_local_c,open_meteo_previous_runs,2848,4384,EXPERIMENT_ONLY
om_prev_d1_foehn_support,open_meteo_previous_runs,2848,4384,EXPERIMENT_ONLY
om_prev_d1_stratus_support,open_meteo_previous_runs,0,4384,EXPERIMENT_ONLY
