endpoint,model,provider,provider_family,coverage_expectation,causal_role,n_probes,n_success,n_success_years,has_run_metadata,has_lead_metadata,errors,success_pct,decision_status,feature_gate_scope,production_status
previous_runs,gfs_seamless,NOAA,NOAA_GFS,global_candidate,fixed_lead_and_snapshot_candidate,4,0,0,false,false,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_AVAILABILITY,no_successful_probe,EXPERIMENT_ONLY
single_runs,gfs_seamless,NOAA,NOAA_GFS,global_candidate,fixed_lead_and_snapshot_candidate,4,0,0,true,true,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_REQUEST_CONTRACT,single_runs_request_contract_not_proven,EXPERIMENT_ONLY
previous_runs,ecmwf_ifs025,ECMWF,ECMWF_IFS,global_candidate,snapshot_preferred_candidate,4,0,0,false,false,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_AVAILABILITY,no_successful_probe,EXPERIMENT_ONLY
single_runs,ecmwf_ifs025,ECMWF,ECMWF_IFS,global_candidate,snapshot_preferred_candidate,4,0,0,true,true,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_REQUEST_CONTRACT,single_runs_request_contract_not_proven,EXPERIMENT_ONLY
previous_runs,ecmwf_aifs025_single,ECMWF,ECMWF_AIFS,global_candidate,snapshot_preferred_candidate,4,0,0,false,false,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_AVAILABILITY,no_successful_probe,EXPERIMENT_ONLY
single_runs,ecmwf_aifs025_single,ECMWF,ECMWF_AIFS,global_candidate,snapshot_preferred_candidate,4,0,0,true,true,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_REQUEST_CONTRACT,single_runs_request_contract_not_proven,EXPERIMENT_ONLY
previous_runs,icon_seamless,DWD,DWD_ICON,global_candidate,fixed_lead_and_snapshot_candidate,4,0,0,false,false,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_AVAILABILITY,no_successful_probe,EXPERIMENT_ONLY
single_runs,icon_seamless,DWD,DWD_ICON,global_candidate,fixed_lead_and_snapshot_candidate,4,0,0,true,true,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_REQUEST_CONTRACT,single_runs_request_contract_not_proven,EXPERIMENT_ONLY
previous_runs,gem_global,ECCC,ECCC_GEM,global_candidate,fixed_lead_and_snapshot_candidate,4,0,0,false,false,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_AVAILABILITY,no_successful_probe,EXPERIMENT_ONLY
single_runs,gem_global,ECCC,ECCC_GEM,global_candidate,fixed_lead_and_snapshot_candidate,4,0,0,true,true,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_REQUEST_CONTRACT,single_runs_request_contract_not_proven,EXPERIMENT_ONLY
previous_runs,jma_seamless,JMA,JMA_GSM,global_candidate,fixed_lead_and_snapshot_candidate,4,0,0,false,false,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_AVAILABILITY,no_successful_probe,EXPERIMENT_ONLY
single_runs,jma_seamless,JMA,JMA_GSM,global_candidate,fixed_lead_and_snapshot_candidate,4,0,0,true,true,plan_only_not_requested,0.0,OPEN_METEO_PROVIDER_BLOCKED_BY_REQUEST_CONTRACT,single_runs_request_contract_not_proven,EXPERIMENT_ONLY
