feature,feature_source,non_null_rows,n_rows,production_status
om_source_id,open_meteo_multi_provider_previous_runs,8760,8760,EXPERIMENT_ONLY
om_causal_class,open_meteo_multi_provider_previous_runs,8760,8760,EXPERIMENT_ONLY
feature_gate_scope,open_meteo_multi_provider_previous_runs,8760,8760,EXPERIMENT_ONLY
om_provider_tmax_pred_c,open_meteo_multi_provider_previous_runs,2920,8760,EXPERIMENT_ONLY
om_provider_run_time_utc,open_meteo_multi_provider_previous_runs,0,8760,EXPERIMENT_ONLY
om_provider_available_time_utc,open_meteo_multi_provider_previous_runs,0,8760,EXPERIMENT_ONLY
om_provider_lead_hours,open_meteo_multi_provider_previous_runs,8760,8760,EXPERIMENT_ONLY
request_url_sha256,open_meteo_multi_provider_previous_runs,8760,8760,EXPERIMENT_ONLY
response_sha256,open_meteo_multi_provider_previous_runs,8760,8760,EXPERIMENT_ONLY
source_decision_status,open_meteo_multi_provider_previous_runs,8760,8760,EXPERIMENT_ONLY
om_prev_d1_temp_23_local_c,open_meteo_multi_provider_previous_runs,2920,8760,EXPERIMENT_ONLY
om_prev_d1_temp_cp_c,open_meteo_multi_provider_previous_runs,2920,8760,EXPERIMENT_ONLY
om_prev_d1_remaining_warming_c,open_meteo_multi_provider_previous_runs,2920,8760,EXPERIMENT_ONLY
om_prev_d1_day_min_c,open_meteo_multi_provider_previous_runs,2920,8760,EXPERIMENT_ONLY
om_prev_d1_cloud_cover_mean_pct,open_meteo_multi_provider_previous_runs,1460,8760,EXPERIMENT_ONLY
om_prev_d1_cloud_cover_low_mean_pct,open_meteo_multi_provider_previous_runs,0,8760,EXPERIMENT_ONLY
om_prev_d1_pressure_msl_mean_hpa,open_meteo_multi_provider_previous_runs,1460,8760,EXPERIMENT_ONLY
om_prev_d1_wind_speed_10m_mean,open_meteo_multi_provider_previous_runs,1352,8760,EXPERIMENT_ONLY
om_prev_d1_wind_gusts_10m_max,open_meteo_multi_provider_previous_runs,0,8760,EXPERIMENT_ONLY
om_prev_d1_wind_dir_10m_circular_mean,open_meteo_multi_provider_previous_runs,1372,8760,EXPERIMENT_ONLY
om_prev_d1_dewpoint_depression_23_local_c,open_meteo_multi_provider_previous_runs,1460,8760,EXPERIMENT_ONLY
om_prev_d1_foehn_support,open_meteo_multi_provider_previous_runs,1352,8760,EXPERIMENT_ONLY
om_prev_d1_stratus_support,open_meteo_multi_provider_previous_runs,0,8760,EXPERIMENT_ONLY
