feature,feature_source,non_null_rows,n_rows,production_status
om_source_id,open_meteo_multi_provider_previous_runs,26304,26304,EXPERIMENT_ONLY
om_causal_class,open_meteo_multi_provider_previous_runs,26304,26304,EXPERIMENT_ONLY
feature_gate_scope,open_meteo_multi_provider_previous_runs,26304,26304,EXPERIMENT_ONLY
om_provider_tmax_pred_c,open_meteo_multi_provider_previous_runs,18440,26304,EXPERIMENT_ONLY
om_provider_run_time_utc,open_meteo_multi_provider_previous_runs,0,26304,EXPERIMENT_ONLY
om_provider_available_time_utc,open_meteo_multi_provider_previous_runs,0,26304,EXPERIMENT_ONLY
om_provider_lead_hours,open_meteo_multi_provider_previous_runs,26304,26304,EXPERIMENT_ONLY
request_url_sha256,open_meteo_multi_provider_previous_runs,26304,26304,EXPERIMENT_ONLY
response_sha256,open_meteo_multi_provider_previous_runs,26304,26304,EXPERIMENT_ONLY
source_decision_status,open_meteo_multi_provider_previous_runs,26304,26304,EXPERIMENT_ONLY
om_prev_d1_temp_23_local_c,open_meteo_multi_provider_previous_runs,18436,26304,EXPERIMENT_ONLY
om_prev_d1_temp_cp_c,open_meteo_multi_provider_previous_runs,18433,26304,EXPERIMENT_ONLY
om_prev_d1_remaining_warming_c,open_meteo_multi_provider_previous_runs,18430,26304,EXPERIMENT_ONLY
om_prev_d1_day_min_c,open_meteo_multi_provider_previous_runs,18440,26304,EXPERIMENT_ONLY
om_prev_d1_cloud_cover_mean_pct,open_meteo_multi_provider_previous_runs,16984,26304,EXPERIMENT_ONLY
om_prev_d1_cloud_cover_low_mean_pct,open_meteo_multi_provider_previous_runs,0,26304,EXPERIMENT_ONLY
om_prev_d1_pressure_msl_mean_hpa,open_meteo_multi_provider_previous_runs,16984,26304,EXPERIMENT_ONLY
om_prev_d1_wind_speed_10m_mean,open_meteo_multi_provider_previous_runs,16984,26304,EXPERIMENT_ONLY
om_prev_d1_wind_gusts_10m_max,open_meteo_multi_provider_previous_runs,8544,26304,EXPERIMENT_ONLY
om_prev_d1_wind_dir_10m_circular_mean,open_meteo_multi_provider_previous_runs,16984,26304,EXPERIMENT_ONLY
om_prev_d1_dewpoint_depression_23_local_c,open_meteo_multi_provider_previous_runs,16880,26304,EXPERIMENT_ONLY
om_prev_d1_foehn_support,open_meteo_multi_provider_previous_runs,16880,26304,EXPERIMENT_ONLY
om_prev_d1_stratus_support,open_meteo_multi_provider_previous_runs,0,26304,EXPERIMENT_ONLY
