experiment_id,candidate_version,macro_regime_label,month,cp,n_assignment_rows,n_unique_days,date_window_start,date_window_end,remaining_warming_p10,remaining_warming_p25,remaining_warming_p50,remaining_warming_p75,remaining_warming_p90,remaining_warming_mean,remaining_warming_std,tmax_int_p50,tmax_hour_p10,tmax_hour_p50,tmax_hour_p90,tmax_hour_before_13_share,tmax_hour_13_17_share,tmax_hour_after_17_share,underpowered_n_lt_min_cell,causal_role,diagnostic_note,production_status
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,1,20:00,33,33,2014-01-10,2025-01-22,1.0,3.0,5.0,6.0,7.0,4.575757575757576,2.208369067749759,21.0,10.0,15.0,17.0,0.21212121212121213,0.696969696969697,0.09090909090909091,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,1,21:00,21,21,2015-01-13,2025-01-22,1.0,2.0,4.0,5.0,6.0,3.619047619047619,1.9358768162305802,22.0,10.0,15.0,18.0,0.23809523809523808,0.6190476190476191,0.14285714285714285,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,1,22:00,18,18,2015-01-15,2024-01-10,1.0,2.0,3.0,4.0,4.0,2.8333333333333335,1.7235394498804248,22.0,12.0,15.0,18.0,0.2222222222222222,0.6111111111111112,0.16666666666666666,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,1,23:00,13,13,2015-01-15,2023-01-31,0.0,1.0,2.0,3.0,6.0,2.3846153846153846,1.8946618668626836,21.0,10.0,15.0,18.0,0.15384615384615385,0.6923076923076923,0.15384615384615385,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,2,20:00,39,39,2014-02-03,2025-02-27,2.0,4.0,5.0,7.0,8.0,5.205128205128205,2.3416086146458244,21.0,12.0,14.0,19.0,0.15384615384615385,0.717948717948718,0.1282051282051282,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,2,21:00,26,26,2014-02-11,2025-02-27,2.0,3.0,4.0,5.0,6.0,3.9615384615384617,1.6366006044424948,21.0,13.0,14.0,19.0,0.11538461538461539,0.7307692307692307,0.15384615384615385,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,2,22:00,22,22,2014-02-11,2025-02-27,1.0,2.0,3.0,3.0,4.0,2.8181818181818183,1.622354656674869,21.0,12.0,14.0,19.0,0.13636363636363635,0.6818181818181818,0.18181818181818182,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,2,23:00,16,16,2015-02-24,2025-02-27,1.0,1.0,2.0,3.0,5.0,2.5,1.7888543819998317,21.0,13.0,14.0,19.0,0.125,0.6875,0.1875,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,3,20:00,60,60,2014-03-02,2025-03-29,2.0,4.0,5.0,6.0,7.0,4.6,1.984687141805342,20.0,11.0,13.0,16.0,0.3,0.6666666666666666,0.03333333333333333,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,3,21:00,48,48,2014-03-07,2025-03-29,2.0,2.0,4.0,5.0,6.0,3.6666666666666665,1.8489023003696157,20.0,11.0,13.0,16.0,0.3541666666666667,0.625,0.020833333333333332,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,3,22:00,31,31,2014-03-11,2025-03-29,1.0,1.0,2.0,3.0,5.0,2.5161290322580645,1.7487322597038784,20.0,11.0,14.0,16.0,0.3548387096774194,0.6451612903225806,0.0,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,3,23:00,26,26,2014-03-11,2025-03-28,0.0,1.0,2.0,3.0,5.0,1.9615384615384615,1.799572598830494,20.0,11.0,14.0,17.0,0.3076923076923077,0.6923076923076923,0.0,true,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,4,20:00,74,74,2014-04-01,2025-04-25,1.0,3.0,4.0,6.0,8.0,4.527027027027027,2.36540692999429,18.0,10.0,12.0,14.0,0.581081081081081,0.40540540540540543,0.013513513513513514,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,4,21:00,72,72,2014-04-01,2025-04-25,1.0,3.0,4.0,5.0,6.0,3.8194444444444446,1.8562903252234002,18.0,10.0,12.0,14.0,0.5972222222222222,0.3888888888888889,0.013888888888888888,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,4,22:00,57,57,2014-04-01,2025-04-25,1.0,2.0,3.0,4.0,5.0,2.7719298245614037,1.4640641069547409,18.0,10.0,12.0,14.0,0.5614035087719298,0.42105263157894735,0.017543859649122806,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,4,23:00,47,47,2014-04-01,2025-04-19,0.0,1.0,2.0,2.0,3.0,1.574468085106383,1.2112638180853812,17.0,10.0,12.0,15.0,0.574468085106383,0.40425531914893614,0.02127659574468085,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,5,20:00,67,67,2014-05-02,2025-05-27,1.0,2.0,5.0,7.0,7.0,4.582089552238806,2.5414697115820974,15.0,10.0,12.0,14.0,0.5223880597014925,0.43283582089552236,0.04477611940298507,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,5,21:00,64,64,2014-05-02,2025-05-27,1.0,2.0,4.0,6.0,7.0,4.171875,2.340497081241843,15.0,10.0,12.0,14.0,0.53125,0.421875,0.046875,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,5,22:00,58,58,2014-05-02,2025-05-27,1.0,2.0,3.0,5.0,5.0,3.2758620689655173,1.8141075177354886,15.0,11.0,12.0,14.0,0.5344827586206896,0.41379310344827586,0.05172413793103448,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,5,23:00,54,54,2014-05-02,2025-05-27,1.0,1.0,2.0,3.0,4.0,2.111111111111111,1.2836661334390513,16.0,11.0,13.0,14.0,0.5,0.42592592592592593,0.07407407407407407,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,6,20:00,89,89,2014-06-01,2025-06-28,1.0,3.0,5.0,6.0,7.0,4.370786516853933,2.312918377248998,14.0,10.0,12.0,14.0,0.5168539325842697,0.449438202247191,0.033707865168539325,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
CEXP-CALM-RADIATIVE-001,v2.3-target-diagnostic,macro_calm_radiative,6,21:00,90,90,2014-06-01,2025-06-28,1.0,2.0,4.0,6.0,7.0,4.088888888888889,2.2267245277193735,14.0,10.0,12.0,14.0,0.5444444444444444,0.4222222222222222,0.03333333333333333,false,FULL_DAY_TARGET_AUDIT_ONLY,Full-day target distribution for regime-design diagnosis; not a CP feature.,EXPERIMENT_ONLY
