macro_regime_label,subtype_label,latent_component_id,source_candidate_id,stratum_type,stratum_value,n_source_rows,production_status
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-1-C00,RDC-V1-MONTH-1-C00,month,1,162,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-1-C01,RDC-V1-MONTH-1-C01,month,1,263,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-1-C02,RDC-V1-MONTH-1-C02,month,1,400,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-1-C03,RDC-V1-MONTH-1-C03,month,1,307,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-1-C04,RDC-V1-MONTH-1-C04,month,1,204,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-1-C05,RDC-V1-MONTH-1-C05,month,1,287,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-10-C00,RDC-V1-MONTH-10-C00,month,10,159,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-10-C01,RDC-V1-MONTH-10-C01,month,10,331,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-10-C02,RDC-V1-MONTH-10-C02,month,10,333,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-10-C03,RDC-V1-MONTH-10-C03,month,10,215,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-10-C04,RDC-V1-MONTH-10-C04,month,10,393,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-10-C05,RDC-V1-MONTH-10-C05,month,10,164,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-11-C00,RDC-V1-MONTH-11-C00,month,11,146,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-11-C01,RDC-V1-MONTH-11-C01,month,11,385,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-11-C02,RDC-V1-MONTH-11-C02,month,11,236,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-11-C03,RDC-V1-MONTH-11-C03,month,11,274,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-11-C04,RDC-V1-MONTH-11-C04,month,11,301,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-11-C05,RDC-V1-MONTH-11-C05,month,11,238,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-12-C00,RDC-V1-MONTH-12-C00,month,12,187,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-12-C01,RDC-V1-MONTH-12-C01,month,12,461,NOT_PRODUCTION
macro_light_marine_or_residual,subtype_transition_low_confidence,RDC-V1-MONTH-12-C02,RDC-V1-MONTH-12-C02,month,12,208,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-12-C03,RDC-V1-MONTH-12-C03,month,12,210,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-12-C04,RDC-V1-MONTH-12-C04,month,12,236,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-12-C05,RDC-V1-MONTH-12-C05,month,12,403,NOT_PRODUCTION
macro_southerly_flow,subtype_southerly_disrupted,RDC-V1-MONTH-2-C00,RDC-V1-MONTH-2-C00,month,2,212,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-2-C01,RDC-V1-MONTH-2-C01,month,2,147,NOT_PRODUCTION
macro_light_marine_or_residual,subtype_maritime_cloudy,RDC-V1-MONTH-2-C02,RDC-V1-MONTH-2-C02,month,2,261,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-2-C03,RDC-V1-MONTH-2-C03,month,2,310,NOT_PRODUCTION
macro_nw_continuum,subtype_nw_or_foehn,RDC-V1-MONTH-2-C04,RDC-V1-MONTH-2-C04,month,2,381,NOT_PRODUCTION
